Meld,Amount,Notes,Unit,Property Name,Address line 1,City,State,Postal code
TVHAKKB,536.00,"Repaired stove 
Repaired broken pice on microwave 
Repaired dishwasher drain 
Repaired loose plugs 
Repaired shower faucet 
Installed tub spout 
Installed shower head 
Repaired closet doors 
Installed GFIs in laundry room 
Installed cabinet knobs 
Installed fill valve and toilet set 
Installed mailbox lock 
Installed porch light globe
Repaired vanity faucet",116,,4522 Winnrose Way 116,Louisville,KY,40211
TEEGP8EB,85.00,,2430-207,,2430 McKindree Ct-207,Louisville,KY,40211
TYF1HM9,160.00,"Materials include screws, paper towels, caulk, door stop.",B,,1423 East Breckinridge Street - B,Louisville,KY,40204
T4J6HK9,130.00,,512,,512 Marian Village Dr.,Shelbyville,KY,40065
TFQAE3MB,97.50,,872,,872 Marian Village Dr.,Shelbyville,KY,40065
TEVDZZ5,130.00,,2177,,2177 Baringer Avenue,Louisville,KY,40204
TF84U6DB,65.00,,514,,514 Marian Village Dr.,Shelbyville,KY,40065
TJ48UCG,65.00,,3,,1747 East Oak Street - 3,New Albany,IN,47150
TY57MZY,65.00,,31,,111 E O'Bryan Avenue-31,Bardstown,KY,40004
T6NEY9P,127.50,,2177,,2177 Baringer Avenue,Louisville,KY,40204
TELQ61V,65.00,,2,,1035 Baxter Ave - 2,Louisville,KY,40204
TNDJYV9,65.00,,40,,111 E O'Bryan Avenue-40,Bardstown,KY,40004
TQ646KGB,65.00,,2A,,402 North Hite Avenue,Louisville,KY,40206
THMRBEN,97.50,,3,,4809 Saddlebrook Lane - 3,Louisville,KY,40216
TU5Y6XI,162.50,,115,,100 Slate Run - 115,Bardstown,KY,40004
T6WMZNK,65.00,,147,,100 Slate Run - 147,Bardstown,KY,40004
TPIWKAF,162.50,,13,,111 E O'Bryan Avenue-13,Bardstown,KY,40004
T0TREZ0,97.50,,4,,1908 Crums Lane - 4,Louisville,KY,40216
T29APFCB,327.50,,1,,130 West Garrett Street,Louisville,KY,40214
T1UN7CE,284.00,,1,,4901 Saddlebrook Lane - 1,Louisville,KY,40216
TW6IR7K,215.00,,18,,1601 Gagel Avenue - 18,Louisville,KY,40216
TPTV3JFB,97.50,,116,,4522 Winnrose Way 116,Louisville,KY,40211
TCDQ6WJB,1906.00,"Repaired kitchen drain
Repaired and installed access panel behind stove filled all holes were rodents are coming in 
Boxed all floor heater vents all areas except living room we done that the last time 
Repaired backing under kitchen cabinet around plumbing
Repaired backing under vanity cabinet around plumbing

Repaired bedroom ceiling
Patched bathroom walls and ceiling
Cut out more damaged area in living room ceiling from water damage above
Repaired light in living room from water damage
Repaired shut off valve under vanity faucet
Repaired installed new stem kit and hardware for shower faucet
Unclogged tub drain
We still have more repairs to do office work schedule at the earliest convenience
Repaired front door 
Installed weather stripping around front door 
Installed new drywall 
Installed new insulation 
Applied first coat of drywall mud 
Repaired toilet 
Will be back on Tuesday
Applied second coat of drywall mud 
Painted water spots on all damaged areas 
Prepped and sprayed tub and walls will be back later today to add second coat on tub
Returned and applied second coat on tub 
Repaired bathroom wall applied second coat of drywall mud 
Will be back on Thursday to texture living room ceiling 

Tenant knows not to use tub for 48 hours
 Textured ceiling 
Painted bathroom walls 
All repairs have been completed 
The living room ceiling needs to be painted could not paint wet mud 
Office will schedule to paint ceiling
Installed new alarm in unit 
Installed new smoke/co2 alarm in basement
Painted living room ceiling 
All repairs are done for section8 and the water damage 
Walked unit with inspector passed inspection",1,,1908 Crums Lane - 1,Louisville,KY,40216
TGEGMVF,135.00,,1A,,304 Keeneland Drive - 1A,Elizabethtown,KY,42701
T4XZV3V,65.00,,114,,100 Slate Run - 114,Bardstown,KY,40004
TCMXXYIB,247.50,,A,,1429 East Breckinridge Street - A,Louisville,KY,40204
TQK6C1F,65.00,Inlet valve is bad needs to be replaced parts not  manufactured anymore needs to replace whole unit,2,,221 Pope Street,Louisville,KY,40206
TF9V7PL,65.00,,1,,1732 West Burnett Avenue,Louisville,KY,40210
TJQ7FIX,130.00,,123,,100 Slate Run - 123,Bardstown,KY,40004
TTTKRQ7,65.00,,3,,4730 Southern Parkway - 3,Louisville,KY,40214
TZDCTWGB,90.00,,2,,1431 Nightingale Road - 2,Louisville,KY,40213
TN62I0LB,171.03,,19,,111 E O'Bryan Avenue -19,Bardstown,KY,40004
TRIRUTK,102.00,,2325,,2325 Rodman,Louisville,KY,40208
TH0KAXJB,232.00,,5,,210 West Blue Lick Road - 5,Shepherdsville,KY,40165
TB8MYNU,65.00,,1443,,1443 Thornberry Avenue,Louisville,KY,40215
TQZIB1DB,325.00,,6,,210 West Blue Lick Road - 6,Shepherdsville,KY,40165
TM0D1ZY,65.00,"Looked at flooring there is damaged flooring in the hallway area 
Estimated price for materials $100
Estimated time for repairs 3.5 hours x’s 2",2,,210 West Blue Lick Road - 2,Shepherdsville,KY,40165
TZDEBZAB,292.50,"Materials include, screws, nails, strike plate, etc.",1,,2918 Slevin Street,Louisville,KY,40212
T7W7YNLB,88.00,,500,,500 Marian Village Dr.,Shelbyville,KY,40065
THJXC0JB,65.00,,872,,872 Marian Village Dr.,Shelbyville,KY,40065
TNL3Q6D,65.00,,748,,748 Marian Village Dr.,Shelbyville,KY,40065
T3X384HB,65.00,,746,,746 Marian Village Dr.,Shelbyville,KY,40065
T27AW1E,175.00,"Materials include paper towels, sealant, screws, trash bags, etc.",1,,1763 West Lee Street,Louisville,KY,40210
TXEIRN0,127.50,,3,,1035 Baxter Ave - 3,Louisville,KY,40204
TWG4NY3,65.00,,16,,1601 Gagel Avenue - 16,Louisville,KY,40216
T33TKBL,77.00,,506,,506 Marian Village Dr.,Shelbyville,KY,40065
TJYQE3N,215.00,,11,,212 East 13th Street- 11,New Albany,IN,47150
T7GE12M,65.00,,1,,4208 Taylor Boulevard - 1,Louisville,KY,40215
T2DQIVJB,199.00,,104,,4522 Winnrose Way 104,Louisville,KY,40211
THGT3JT,598.00,"Installed switch control for front big burner 
Installed drip pans 
Stove is working properly 
Microwave is working properly",109,,4522 Winnrose Way 109,Louisville,KY,40211
T0LNGUF,205.00,"Materials include strike plates, blank covers, screws, etc.",231,,4524 Winnrose Way 231,Louisville,KY,40211
TW86ABDB,65.00,,1,,3028 Wurtele Avenue,Louisville,KY,40216
TXX5WXW,227.50,,134,,100 Slate Run - 134,Bardstown,KY,40004
TV7284Z,257.50,,2,,810 West Vine Street - 2,Radcliff,KY,40160
T27YPM9,335.00,"Repaired vanity faucet 
Repaired toilet 
Cut hole in wall to repair water lines 
Installed two new shutoff valves and washer shutoff valves 
Installed new supply lines 
Repaired wall installed access panel",6,,621 Westport Road,Elizabethtown,KY,42701
TK421DB,255.00,,2B,,304 Keeneland Drive - 2B,Elizabethtown,KY,42701
TWP4I8H,102.50,,4,,1568 Illinois Road - 4,Radcliff,KY,40160
TXXBRDH,220.00,,1,,810 West Vine Street - 1,Radcliff,KY,40160
TLGD1X9,65.00,,1,,505 North 38th Street,Louisville,KY,40212
TRJY28BB,65.00,"Looked at gutters 
 The gutter is hanging and twisted. There is two spot that would need to be cut out and piece together with a sleeve  repair downspout 

Estimated time 2.5 hours  x’s 2 
Estimated price for materials $63.00

Office will schedule for repairs whit owner’s approval",1,,414 North 38th Street,Louisville,KY,40212
TGXM7C8,260.00,,1,,2922 South 5th Street,Louisville,KY,40208
TNJ9BMP,65.00,,114,,4522 Winnrose Way 114,Louisville,KY,40211
TVJZW8T,65.00,,31,,111 E O'Bryan Avenue-31,Bardstown,KY,40004
TYBXD3BB,345.00,"Once we get this approval office will schedule for repairs. I told the tenant that was in place how the application of the tub surfacing kit would work and that they also would not be able to use the bathtub for 48 hours

We finished repair on bathtub please do not use tub for 48 hours 
The tub needs to fully cure",2,,2147 Duncan Street - 2,Louisville,KY,40212
T7A7NFJ,267.00,"Materials include screws, paper towels, trash bags, pipe joint sealant, etc.",1,,514 Compton Street,Louisville,KY,40208
TBDG2Y6,65.00,,114,,100 Slate Run - 114,Bardstown,KY,40004
TE91L79,700.00,,13,,111 E O'Bryan Avenue-13,Bardstown,KY,40004
TPQYR8X,332.00,,1,,1240 Algonquin Parkway,Louisville,KY,40208
TZBCQ9P,303.15,,28,,111 E O'Bryan Avenue-28,Bardstown,KY,40004
TU4WJVT,65.00,,1,,820 Winkler Avenue,Louisville,KY,40208
TKBB1W0,296.00,,13,,7602 Garrison Road - 13,Louisville,KY,40214
TU6QCZ2,255.00,,9,,7602 Garrison Road - 9,Louisville,KY,40214
TY43LZKB,187.00,"Tenant was not able to use his toilet due to the fill valve not working properly 
Installed new fill valve 
Installed new shutoff valve there was lots of build up in the angle stop not allowing water to flow",11,,1603 Gagel Avenue - 11,Louisville,KY,40216
TPLXX8M,551.00,"Section8 repairs
Finished all section8 repairs 
Unit is on F key 
Mailbox keys in lock box code 0987",126,,4524 Winnrose Way 126,Louisville,KY,40211
T8AUMFV,127.50,,1,,4900 Saddlebrook Lane - 1,Louisville,KY,40216
TZKC7WLB,280.00,"Checked all around in the basement part of unit and there is water coming from one corner
Walked the other side of the basement in the storage area 
Several spots with ground water 
I cut hole in the wall installed access panel in this panel I was able to see the roof line there was no water from above
Sprayed all areas for mold and mildew 
Repaired trim in basement bedroom I am closing this mild and one will be opened upon rescheduling 
I will reach out to office and we will get this scheduled",3,,2322 West Chestnut Street - 3,Louisville,KY,40211
TAKMHTG,70.00,,1,,2410 Rowan Street,Louisville,KY,40212
TNB1F4K,65.00,,A,,170 Gillette Avenue A,Louisville,KY,40214
TV8R047,144.50,"Materials include drywall mud, tape, screws, paper towels, garbage bags, etc.",3,,4809 Saddlebrook Lane - 3,Louisville,KY,40216
T6PBZ7D,797.50,,1,,1763 West Lee Street,Louisville,KY,40210
T41W533,137.50,,103,,1743 Culbertson Avenue,New Albany,IN,47150
TATVH39,205.00,,4,,1743 Culbertson Avenue,New Albany,IN,47150
TE84T52,1080.00,"Repaired stove installed two new burners
Installed new drip pans 
Repaired fill valve on toilet 
Repaired kitchen light fixture 
Installed new bulbs in kitchen light 
Installed new lock on unit door keyed to previous key 
Looked at all other issues 
Office will schedule for repairs

4/14/23
Repaired kitchen light 
Installed new ballast 
Installed three new burners on stove 
Stove had a electrical issue repaired stove it’s working properly now 
Installed new thermostat 
Installed new filter 
Repaired kitchen faucet 
Installed new shower head 
Repaired toilet 
Installed new handle 
Installed new flapper 
Cut all old caulking out Caulked around tub
Caulked around vanity top 
Replaced few ceilings tiles 
Repaired vanity door 
Repaired closet door 
Closing this part of meld one will be credited for following repairs 
Windows 
Flooring 
Painting",102,,1743 Culbertson Avenue,New Albany,IN,47150
T4CIW82,260.00,"Materials include paper towels, screws, nails, caulk, etc.",1,,6221 Eureka Avenue,Louisville,KY,40216
T1ZLYD4,65.00,,106,,1743 Culbertson Avenue,New Albany,IN,47150
TPK73Q0,110.00,,5,,334 Idlewylde Drive - 5,Louisville,KY,40206
TQNM9QH,234.50,Materials include paper towels and garbage bags.,1,,184 Cannon Court - 1,Louisville,KY,40229
TGVEHJ5,65.00,,2,,1431 Nightingale Road - 2,Louisville,KY,40213
TR10XUC,665.00,,2,,184 Cannon Court - 2,Louisville,KY,40229
TN0RTD3,100.00,,1,,4412 Bellevue Avenue,Louisville,KY,40215
THF0JDBB,90.00,,3,,7604 Garrison Road - 3,Louisville,KY,40214
TBKPMABB,176.00,,12,,1908 Crums Lane - 12,Louisville,KY,40216
T76743DB,142.50,,2430-208,,2430 McKindree Ct-208,Louisville,KY,40211
T4I0QDE,167.00,"Repaired outside lights installed new breaker 

Repaired switch this will need a new oven temperature  control  
Office will schedule when parts come in

Installed new bulb in two light fixtures on side of building",2430-203,,2430 McKindree Ct-203,Louisville,KY,40211
TMZDQPCB,65.00,,205,,2430 McKindree Ct,Louisville,KY,40211
TQZNY41,100.00,,3,,1711 Valley Forge Way - 3,Louisville,KY,40215
THAC1LJ,258.00,,2420-112,,2430 McKindree Ct-112,Louisville,KY,40211
TGMW0M0,132.50,,2,,12511 East Orell Road - 2,Louisville,KY,40272
TMNLMAG,65.00,,2329,,2329 Rodman,Louisville,KY,40208
TKIHECL,65.00,Sent Dixie for plumbing repair in the ceiling,1,,5509 Phoenix Hill Ct,Louisville,KY,40207
TKMILW7,174.00,"Materials include paper towels, cabinet liner, trash bag, sealant, etc.",1,,7103 Chiswell Dr.,Louisville,KY,40258
TMQNL5HB,145.00,,B6,,4604 Southern Parkway - B6,Louisville,KY,40214
T8G1BBU,397.50,,B2,,4604 Southern Parkway - B2,Louisville,KY,40214
T2RDNJ4,310.00,Office will schedule to finish repairs,4,,7604 Garrison Road - 4,Louisville,KY,40214
TBR8H0,290.00,,1,,7604 Garrison Road - 1,Louisville,KY,40214
TELJYBI,271.00,"Installed new ballast in light fixture 
Installed new bulbs 
Repaired vanity faucet hot side shut off valve 
Snaked tub drain / repaired overflow vent 
Pulled toilet apart installed all new parts to toilet",1,,1603 Gagel Avenue - 1,Louisville,KY,40216
T4DM193,77.00,,A,,170 Gillette Avenue A,Louisville,KY,40214
T62CUYH,182.50,,211,,1743 Culbertson Avenue,New Albany,IN,47150
T9RC8T1,65.00,,109,,1743 Culbertson Avenue,New Albany,IN,47150
T44PXLX,65.00,,864,,864 Marian Village Dr.,Shelbyville,KY,40065
TYL1L5DB,67.00,,2,,216 East 13th Street-2,New Albany,IN,47150
TJ2ZRRW,68.00,,4,,1002 East Main St,New Albany,IN,47150
T5TDINHB,95.00,,3,,1035 Baxter Ave - 3,Louisville,KY,40204
T9JZT4J,234.00,"Materials include paper towels, trash bag, plumbers putty, switch cover, etc.",8419,,8417 Damascus Circle - 8419,Louisville,KY,40228
TN3ANRMB,350.00,"Finished all repairs for section8 
Unit is keyed on C key 
Mailbox key, C key and H key are in lock box code 0987
Needs key fob to laundry room",7B,,402 North Hite Avenue,Louisville,KY,40206
T6DMQKLB,473.00,,1,,5509 Phoenix Hill Ct,Louisville,KY,40207
T9JNI3N,380.00,,1,,929 Dresden Avenue,Louisville,KY,40215
TJCG093,182.00,"Materials include paper towels, trash bag, etc.",1,,315 South Shawnee Terrace,Louisville,KY,40212
TX35VREB,102.50,,1443,,1443 Thornberry Avenue,Louisville,KY,40215
TQ9Q1NHB,1145.00,,624,,624 Marian Village Dr.,Shelbyville,KY,40065
TZYTUCT,65.00,,1,,3332 Oleanda Avenue,Louisville,KY,40215
TBPC4WJ,225.00,"Materials include paper towels, sealant, trash bag, etc.",1,,316 South 39th Street,Louisville,KY,40212
T8EJG6N,122.50,,231,,4524 Winnrose Way 231,Louisville,KY,40211
TL2CX9M,128.50,,123,,4522 Winnrose Way 123,Louisville,KY,40211
T2H55N5,65.00,,126,,4524 Winnrose Way 126,Louisville,KY,40211
TY5PPCGB,177.00,,130,,4524 Winnrose Way 130,Louisville,KY,40211
T8J7MB7,90.00,,1,,5355 New Cut Rd.,Louisville,KY,40214
TEWJQKFB,487.50,"Materials include paper towels, trash bags, nails, screws, etc.",1,,1742 Algonquin Parkway,Louisville,KY,40210
TZ7173R,65.00,,1,,1403 Sale Avenue,Louisville,KY,40215
T0WRC1K,120.00,,125,,4524 Winnrose Way 125,Louisville,KY,40211
T5BFDF8,149.50,,121,,4522 Winnrose Way 121,Louisville,KY,40211
TDN4KJLB,700.00,,6,,2718 Rockford Lane - 6,Louisville,KY,40216
TXPC50I,965.00,,3,,4733 South 3rd Street - 3,Louisville,KY,40214
T9AYH8P,343.00,,1,,1763 West Lee Street,Louisville,KY,40210
T7CRX4M,460.00,"Materials include drywall mud, screws, garbage bags, tape, etc.",1,,122 Oxford Place,Louisville,KY,40207
TVWLYNE,65.00,,1,,319 West Lee Street - 1,Louisville,KY,40208
TEH2GRKB,85.00,,1,,126 Sanctuary Drive,Shepherdsville,KY,40165
TD48GH2,220.00,"Materials include screws, PEX clamps, plywood, paper towels, etc.",1,,3926 S Second St,Louisville,KY,40214
T53MFAFB,780.00,,2,,221 Pope Street,Louisville,KY,40206
TZUZRTI,1807.79,,124,,100 Slate Run - 124,Bardstown,KY,40004
TDZY88M,285.00,,1,,6707 Fenske,Louisville,KY,40258
TEXWA7W,207.00,,2A,,300 Keeneland Drive - 2A,Elizabethtown,KY,42701
T6LQ9VQ,185.00,,1B,,306 Keeneland Drive - 1B,Elizabethtown,KY,42701
TZRKAR2,107.50,,7B,,402 North Hite Avenue,Louisville,KY,40206
TK35N0DB,265.00,"Materials include paper towels, trash bags, drywall tape, etc.",1,,318 North 43rd Street,Louisville,KY,40212
T6MFCJHB,380.00,,4,,1002 East Main St,New Albany,IN,47150
TKQIBXK,142.00,,2327,,2327 Rodman,Louisville,KY,40208
TB68NIKB,297.50,,1,,2922 South 5th Street,Louisville,KY,40208
T9T1AXHB,230.00,,1,,439 North 38th Street,Louisville,KY,40212
THWJEGV,65.00,Needs to be warmer to frame and add new vent will need to reschedule when warmer,B,,170 Gillette Avenue - B,Louisville,KY,40214
TWRUEGM,117.50,,3,,4901 Saddlebrook Lane - 3,Louisville,KY,40216
TAV00TMB,207.00,,1,,333 Mechanic Street,Jeffersonville,IN,47130
T4JH1GU,176.00,,109,,1743 Culbertson Avenue,New Albany,IN,47150
TNUDGXD,347.00,,1,,6221 Eureka Avenue,Louisville,KY,40216
TMC3J9E,142.00,,1,,6604 Estele Ave,Louisville,KY,40214
TPMHDKL,800.00,,3,,810 West Vine Street - 3,Radcliff,KY,40160
T6AWMA7,660.00,,1,,4721 S 1st Street,Louisville,KY,40214
TAYFYICB,90.00,,10,,7602 Garrison Road - 10,Louisville,KY,40214
THVEQD5,125.00,,1,,10602 Hillcross Court,Louisville,KY,40229
TT5Y03F,325.00,,2,,1705 Valley Forge Way - 2,Louisville,KY,40215
T4ML8FL,65.00,,47,,111 E O'Bryan Avenue-47,Bardstown,KY,40004
TD69M7LB,346.00,Remaining repairs were complete during turn,2323,,2323 Rodman,Louisville,KY,40208
THZW0VJB,187.50,,1,,515 East 11th Street,New Albany,IN,47150
T631BWDB,136.46,,20,,111 E O'Bryan Avenue-20,Bardstown,KY,40004
THR0KIMB,277.33,,105,,100 Slate Run - 105,Bardstown,KY,40004
TKFC4JC,337.50,,1,,813 Laurel Drive,Jeffersonville,IN,47130
TVMEF8I,130.00,,47,,111 E O'Bryan Avenue-47,Bardstown,KY,40004
TX0PCH3,65.00,,1,,507 E. Maple St.,Jeffersonville,IN,47130
TV41QWGB,162.50,,1,,1431 Nightingale Road - 1,Louisville,KY,40213
TLC0UW0,146.25,,1,,6712 Stana Dr,Louisville,KY,40258
TDE2YC6,130.00,,100,,100 Slate Run - 100,Bardstown,KY,40004
TRUG8Q4,195.00,"Main breaker outside was in fault position on arrival. 

Went to breaker inside. Turned off all breakers. 
Reset main. 
Turned on individual breakers. 
Power stayed on. 
Started washer, dryer, furnace. Power stayed on. 
Turned oven on to Bake. 
Main breaker faulted. 

Turned oven breaker off. 
Reset main. 

Removed back panel from power supply on oven. 
Oven has 4 prong plug. 
Neutral ground strap still installed.
Removed neutral ground strap. 

Reset oven breaker. 
Ran furnace, dryer and oven at the same time. 
Main breaker staying on. 

Waited for oven to come to temp. 
Main breaker still staying on.",1B,,306 Keeneland Drive - 1B,Elizabethtown,KY,42701
TNGX4U8,234.00,,1,,5009 Delaware Drive,Louisville,KY,40218
TC0YA1LB,297.00,,106,,4522 Winnrose Way 106,Louisville,KY,40211
TXEYH20,177.00,,3,,4901 Saddlebrook Lane - 3,Louisville,KY,40216
TWPGJXAB,90.00,,1,,129 East Wampum Avenue,Louisville,KY,40214
TXMZ4X4,264.50,,1,,2211 Gerald Court - 1,Louisville,KY,40218
TW3FEMZ,294.00,,103,,4522 Winnrose Way 103,Louisville,KY,40211
TVHPZY,65.00,,1,,3620 Vermont Avenue,Louisville,KY,40211
TX8K91EB,1497.50,,1,,8300 Candleglow Lane,Louisville,KY,40214
T5UM2AT,65.00,,19,,111 E O'Bryan Avenue -19,Bardstown,KY,40004
TE60BHFB,103.00,,15,,7607 Garrison Road - 15,Louisville,KY,40214
TZQ4H65,238.00,,1,,6604 Estele Ave,Louisville,KY,40214
T0I5TGGB,244.00,,11,,7607 Garrison Road - 11,Louisville,KY,40214
TZF26JT,736.00,,2,,1711 Valley Forge Way - 2,Louisville,KY,40215
T3FZ82Z,1900.15,,134,,100 Slate Run - 134,Bardstown,KY,40004
TMPE8GJ,65.00,,158,,100 Slate Run -158,Bardstown,KY,40004
T3PGBA6,65.00,,4,,216 East 13th Street- 4,New Albany,IN,47150
T1W8BV7,75.00,,103,,1743 Culbertson Avenue,New Albany,IN,47150
TINFINCB,110.00,,1,,4121 South 2nd Street,Louisville,KY,40214
TUW5VJF,162.50,,1,,505 North 38th Street,Louisville,KY,40212
TX2WRKCB,100.00,,1,,253 Cecil Avenue - 1,Louisville,KY,40212
TVFBKUJB,370.00,,1,,253 Cecil Avenue - 1,Louisville,KY,40212
T99DT1MB,65.00,,3,,216 East 13th Street- 3,New Albany,IN,47150
TDRDJ14,100.82,,100,,100 Slate Run - 100,Bardstown,KY,40004
TZGYF9R,277.50,"Materials include drywall patch, mud, Teflon tape, adhesive, etc.",13,,1002 East Main St,New Albany,IN,47150
TH1KM9P,65.00,,5,,4901 Saddlebrook Lane - 5,Louisville,KY,40216
THRI3MQ,65.00,Tub needs to be replaced also shower faucet big job need to send Dixie,A8,,4604 Southern Parkway - A8,Louisville,KY,40214
T7GW5YG,97.50,,22,,111 E O'Bryan Avenue -22,Bardstown,KY,40004
