Meld,Work Category,Agent,Title,Description,Hours,Check in,Checkout,Unit,Property Name,Address line 1,City,State,Postal code
TTK6Q6Y,PLUMBING,Mike Guelda,Bathroom repairs.,"Patched holes in drywall. Taped and mudded seams. 

Reinstalled shower surround above tile. 

Installed new piece of shower surround behind faucet handle and spout. 

Caulked all seams. 

Plumber that installed tub spout did not make spout threads long enough for after wall repair. 

Cut threaded end of pipe and installed new slip on tub spout.

Will have to return to sand and paint drywall patches.",4.5,01/04/2023 09:30,01/04/2023 14:00,6,,230 West Blue Lick Road,Shepherdsville,KY,40165
T63PYFKB,PLUMBING,Mike Guelda,Kitchen sink drain.,"Kitchen drain was completely blocked. 
Drained water out of sinks and drain.
No sign of food or grease in drain.  
Ran snake all the way to the end. 
Hit blockage close to end of snake.
Snake came back covered in black flecks. Cause of clog was sediment. 
Pulled snake and reassembled drain. 
Tested drain. 
Draining but still slow. 
Treated with thrifts. 
After several minutes clog broke free. 
Sink drains properly after repairs.",1.5,01/04/2023 15:00,01/04/2023 16:30,1,,510 Creel Ave,Louisville,KY,40208
TIA353DB,ELECTRICAL,Mike Guelda,No power.,"House meter turned off due to changing of service. 

LG&E should be there tonight to turn it back on.",1.0,01/04/2023 16:30,01/04/2023 17:30,1,,2147 Duncan Street,Louisville,KY,40212
TRE4LB9,GENERAL,Mike Guelda,"Clogged toilet, and multiple issues.","Attempted to snake and plunge toilet. 

Cannot move clog. 

Referral to Dixie Plumbing. 

Repaired strike plate in upstairs bedroom. 

Will have to return with taller ladder to replace outdoor light fixture.",1.5,01/05/2023 08:00,01/05/2023 09:30,1,,439 North 38th Street,Louisville,KY,40212
TZNY9RDB,GENERAL,Mike Guelda,Section 8 inspection,"Present for section 8 inspection. 

Made one minor repair on a plug. 
Hot wire loose. 

Passed inspection.",1.0,01/05/2023 10:30,01/05/2023 11:30,6,,4902 Saddlebrook Lane,Louisville,KY,40216
TL1K4F5,LOCKS,Mike Guelda,Set out.,"Drilled deadbolt.

Sheriff search apartment. 

Replaced deadbolt. 

Since tenant had access to our keys I left the key that came with the deadbolt in lock box code 0987",1.0,01/05/2023 12:00,01/05/2023 13:00,6A,,402 N. Hite Ave,Louisville,KY,40206
T4WKVX8,GENERAL,Mike Guelda,Multiple issues.,"Tightened set screw on front door handle. 

Tightened screws on bannister. 

Reinstalled transition strip at top of stairs with finish nails.",1.0,01/05/2023 13:00,01/05/2023 14:00,1B,,402 N. Hite Ave,Louisville,KY,40206
TLBH4CK,LOCKS,Mike Guelda,Front door,Removed locking doorknob and replaced with passage knob.,1.0,01/05/2023 14:00,01/05/2023 15:00,1,,3758 Lentz Avenue,Louisville,KY,40215
T4GA840,HVAC,Albert Hardesty,Maintenance,"Repaired flame sincere
Repaired thermostat",1.5,01/05/2023 12:30,01/05/2023 14:00,5,,4901 Saddlebrook Lane,Louisville,KY,40216
TA1YDVCB,HVAC,Albert Hardesty,Maintenance,"Repaired flame sensors 
Turned gas on tenant had turned everything off 
When electrician was working on  main breaker",2.0,01/05/2023 13:30,01/05/2023 15:30,6,,4903 Saddlebrook Lane,Louisville,KY,40216
TT2ZYT0,GENERAL,Albert Hardesty,Maintenance,"Repaired doors 
Repaired light in kitchen 
Repaired cabinet 
Repaired toilet 
Repaired vanity faucet and drain 
Re soffit 
Repaired plug",2.5,01/05/2023 10:00,01/05/2023 12:30,1,,3339 Taylor Boulevard,Louisville,KY,40215
TRRHQMFB,GENERAL,Albert Hardesty,Maintenance,Section8 repairs,3.0,01/05/2023 08:00,01/05/2023 11:00,3,,3339 Taylor Boulevard,Louisville,KY,40215
TRLJQY6,SMOKE_DETECTOR_CO_DETECTORS,Albert Hardesty,Maintenance,Smoke alarms and co2 alarm,1.5,01/04/2023 14:00,01/04/2023 15:30,1,,4902 Saddlebrook Lane,Louisville,KY,40216
TNX7B1W,PLUMBING,Albert Hardesty,Maintenance,,1.5,01/04/2023 08:00,01/04/2023 09:30,1A,,302 Keeneland Drive,Elizabethtown,KY,42701
T185R01,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,Move in repaires,3.0,01/04/2023 09:30,01/04/2023 12:30,1A,,304 Keeneland Drive,Elizabethtown,KY,42701
TRNTEL3,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,Section8 repairs,2.5,01/05/2023 14:30,01/05/2023 17:00,1,,500 East Ormsby Avenue,Louisville,KY,40203
THWYKCBB,PLUMBING,Mike Guelda,Main line,"All drains bubble and gurgle when running water into drain. 

Referral to Dixie Plumbing.",1.0,01/06/2023 08:00,01/06/2023 09:00,A,,170 Gillette Avenue,Louisville,KY,40214
TFAK4KCB,GENERAL,Mike Guelda,Move in repairs.,"Hot water issue was dealt with before I got here. 

Bedroom doorknobs were a keyed knob and passage knob. 
Replaced both knobs with privacy knobs. 

Bathroom door already had privacy knob. 
Adjusted strike plate and latch. 
Closes and locks. 

Gap between wall and ceiling in upstairs bedroom. 
Filled larger parts of gap with expanding foam. 
Covered gap with a piece of trim. 
Caulked trim for airtight seal. 

Also caulked gap above cabinets in kitchen. 

Front entry doorknob latch was backwards.
Turned it around and reinstalled knob.",2.5,01/06/2023 09:00,01/06/2023 11:30,1,,819 1/2 Beecher Street,Louisville,KY,40215
T0K4765,TOILET,Mike Guelda,Toilet valve.,"Old Mansfield valve was no longer shutting off correctly. 

Replaced with new fluidmaster fill valve. No leak after repairs.",1.5,01/06/2023 11:00,01/06/2023 12:30,1,,2750 Montana Avenue,Louisville,KY,40208
TJ16R55,TOILET,Mike Guelda,Fill valve.,"Fill valve was old style fluidmaster. 

Replaced with new fluidmaster fill valve. 

No leaks. Toilet fills then stops.",1.0,01/06/2023 12:00,01/06/2023 13:00,2B,,402 N. Hite Ave,Louisville,KY,40206
TKB73HEB,LOCKS,Mike Guelda,Set out,"Tenants still in apartment when the sheriff's and myself arrived. 

Work crew removed all personal belongings f om apartment and placed out front. 

Will need to be trashed out. 

Locks changed to V key and all windows secured.",1.5,01/06/2023 13:30,01/06/2023 15:00,3,,1035 Baxter Ave,Louisville,KY,40204
TQY2QZN,PLUMBING,Mike Guelda,Clogged kitchen sink.,"Grease and food particles floating in water upon arrival. 

Clog was just below sink baskets. 

Used small sink snake to break up grease clog. 

Tenant will be charged for service.",1.0,01/06/2023 15:00,01/06/2023 16:00,2,,601 Revolutionary Road,Louisville,KY,40214
T7WYDZ1,OTHER_WORK_CATEGORY,Mike Guelda,Ceiling leak.,"Leak in bathroom ceiling in unit 8. 

Water coming from flange of toilet in unit 13. 

Pulled toilet and replaced old worn wax ring. 

No leak after repairs. 

Will need to return to patch ceiling in unit 8.",1.5,01/06/2023 18:00,01/06/2023 19:30,8,,4728 Southern Parkway,Louisville,KY,40214
T8VPF98,GENERAL,Albert Hardesty,Maintenance,Walk through for section8 repairs,1.5,01/06/2023 13:30,01/06/2023 15:00,7B,,402 N. Hite Ave,Louisville,KY,40206
TPWNTQK,SMOKE_DETECTOR_CO_DETECTORS,Albert Hardesty,Maintenance,"Installed new smoke alarm 
Repaired toilet",1.5,01/06/2023 14:00,01/06/2023 15:30,B6,,2505 Brownsboro Road,Louisville,KY,40206
TIQ103X,PLUMBING,Albert Hardesty,Maintenance,Drywall repair,2.0,01/06/2023 14:30,01/06/2023 16:30,D5,,2505 Brownsboro Road,Louisville,KY,40206
TVHAKKB,GENERAL,Albert Hardesty,Maintenance,Section8 repairs,4.0,01/06/2023 08:00,01/06/2023 12:00,116,,4522 Winnrose Way,Louisville,KY,40211
TEEGP8EB,ELECTRICAL,Mike Guelda,Breaker thrown.,"Breaker for front bathroom and living room was thrown. 

Reset breaker. Unplugged area heater in living room. 

Lights and plugs working after repairs.",1.0,01/08/2023 10:00,01/08/2023 11:00,2430-207,,2430 McKindree Ct,Louisville,KY,40211
TYF1HM9,OTHER_WORK_CATEGORY,Mike Guelda,Multiple repairs.,"Dishwasher was clogged with non food debris like plastic. 
Cleared drain, rinsed drain parts. 
Ran cycle to test. 
Dishwasher is noisy, but runs and drains fully. 

Installed new doorstop. 

Bathroom sink drain. Tenant tightened slip nuts. No longer leaks. 

When I arrived I noticed the exterior lights were missing and live wires were sticking out of the wall. 
One light fixture was on the front porch. 
Reinstalled front door light. 
Installed new light at patio.",2.0,01/09/2023 08:00,01/09/2023 10:00,B,,1423 East Breckinridge Street,Louisville,KY,40204
T6NEY9P,LOCKS,Mike Guelda,Garage entry door.,"Door is old and too thin for a deadbolt or standard doorknob. 

Installed lock on door and striking plate to frame. 

Door is old and warped. 

Recommend replacing in the future.",1.5,01/09/2023 10:30,01/09/2023 12:00,2177,,2173 Baringer Avenue,Louisville,KY,40204
THMRBEN,PLUMBING,Mike Guelda,Clogged bathtub.,"Tub has standing water. 

Sent snake down as far as it would go 3 times. 

Water still not moving. 

Nothing on snake. 

Referral to Dixie Plumbing.",1.5,01/09/2023 13:30,01/09/2023 15:00,3,,4809 Saddlebrook Lane,Louisville,KY,40216
T8WU1JN,CARPENTRY,Mike Guelda,Sand and paint.,"Sanded patches. Caulked corners. 
Painted patches.",1.0,01/09/2023 16:00,01/09/2023 17:00,14,,1601-1603 Gagel Avenue,Louisville,KY,40216
T0TREZ0,WATER_HEATER,Albert Hardesty,Maintenance,No hot water,1.5,01/09/2023 17:00,01/09/2023 18:30,4,,1908 Crums Lane,Louisville,KY,40216
T29APFCB,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,No heat  gas is off,1.5,01/09/2023 19:00,01/09/2023 20:30,1,,130 West Garrett Street,Louisville,KY,40214
T1UN7CE,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,Section8 repairs,2.0,01/09/2023 10:00,01/09/2023 12:00,1,,4901 Saddlebrook Lane,Louisville,KY,40216
TW6IR7K,INTERIOR,Albert Hardesty,Maintenance,,2.0,01/09/2023 09:00,01/09/2023 11:00,18,,1601-1603 Gagel Avenue,Louisville,KY,40216
TPTV3JFB,GENERAL,Albert Hardesty,Maintenance,,1.5,01/09/2023 13:30,01/09/2023 15:00,116,,4522 Winnrose Way,Louisville,KY,40211
TCDQ6WJB,GENERAL,Albert Hardesty,Maintenance,,5.0,01/09/2023 14:00,01/09/2023 19:00,1,,1908 Crums Lane,Louisville,KY,40216
TGEGMVF,CIRCUIT_BREAKER,Albert Hardesty,Maintenance,,1.5,01/10/2023 07:30,01/10/2023 09:00,1A,,304 Keeneland Drive,Elizabethtown,KY,42701
TRIRUTK,LOCKS,Albert Hardesty,Maintenance,,1.5,01/10/2023 15:00,01/10/2023 16:30,2325,,2305 Rodman,Louisville,KY,40208
T29APFCB,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,,1.5,01/10/2023 12:30,01/10/2023 14:00,1,,130 West Garrett Street,Louisville,KY,40214
TAD00JB,DRYWALL,Albert Hardesty,Maintenance,,2.0,01/10/2023 10:00,01/10/2023 12:00,1,,2607 West Main Street,Louisville,KY,40212
T5JJM4V,GENERAL,Albert Hardesty,Maintenance,,4.0,01/10/2023 16:00,01/10/2023 20:00,4,,212-216 East 13th Street,New Albany,IN,47150
TH0KAXJB,PLUMBING,Albert Hardesty,Maintenance,,2.0,01/11/2023 07:30,01/11/2023 09:30,5,,210 West Blue Lick Road,Shepherdsville,KY,40165
TM0D1ZY,FLOORING,Albert Hardesty,Maintenance,,1.0,01/11/2023 08:00,01/11/2023 09:00,2,,210 West Blue Lick Road,Shepherdsville,KY,40165
TZDEBZAB,OTHER_WORK_CATEGORY,Mike Guelda,Multiple repairs,"Front security door was not level with damaged hinge. Also handle and latch were broken. 
Replaced broken hinge. Added additional hinge to spread the weight. 
Replaced broken handle and latch. 
Adjusted frame. 
Door closes and latches. 

Front door weather strip was worn and allowed a draft. 
Installed new exterior weather strip. 

Kitchen base cabinets toe kick had come loose. 
Secured with finish nails. 

Exposed pipe in bathroom is vent pipe. It is cast iron broken at 2 joints. 
Referral to Dixie Plumbing.",2.5,01/11/2023 08:00,01/11/2023 10:30,1,,2918 Slevin Street,Louisville,KY,40212
T4K35B8,PLUMBING,Mike Guelda,No entry.,"Cannot enter apartment due to dog on premises. 

Please reschedule when dog is secured or someone is home.",1.0,01/11/2023 11:00,01/11/2023 12:00,1,,528 East Oak Street,Louisville,KY,40203
T27AW1E,OTHER_WORK_CATEGORY,Mike Guelda,Multiple repairs.,"Gas to stove was turned off at stove. 
Turned gas on and checked for leaks. 
No leaks. 
Tested stove. 
Two elements and oven not lighting. 

Will schedule a time to deliver a new stove. (black or stainless) 

Installed mailbox to right of door. 

Kitchen drain was clogged. 
Ran snake in drain. 
Ran water for several minutes to test. 
No clog after repair.",2.0,01/11/2023 11:30,01/11/2023 13:30,1,,1763 West Lee Street,Louisville,KY,40210
TXEIRN0,LOCKS,Mike Guelda,Doorknob.,Replaced original knob with universal replacement.,1.5,01/11/2023 13:00,01/11/2023 14:30,3,,1035 Baxter Ave,Louisville,KY,40204
TWG4NY3,PLUMBING,Lindsey Purcell,Kitchen sink.,"12/21

Kitchen sink backs up when upstairs neighbor uses sink. 

My snake could not reach the clog. 

Referral to Dixie Plumbing.",0.0,01/11/2023 14:34,,16,,1601-1603 Gagel Avenue,Louisville,KY,40216
TJYQE3N,PLUMBING,Albert Hardesty,Maintenance,,2.0,01/11/2023 12:00,01/11/2023 14:00,11,,212-216 East 13th Street,New Albany,IN,47150
TCDQ6WJB,GENERAL,Albert Hardesty,Maintenance,,4.0,01/11/2023 14:00,01/11/2023 18:00,1,,1908 Crums Lane,Louisville,KY,40216
T2DQIVJB,OTHER_WORK_CATEGORY,Mike Guelda,Multiple repairs.,"Blinds in bedroom were not properly installed, and damaged when they fell off the brackets. 

Installed 2 new 39"" blinds in bedroom. 

Toilet was unlevel and rocked slightly. 
Installed shims where needed and tightened closet bolts. 

Toilet seat was loose. 
Adjusted seat and tightened bolts. 

Roofing crew had already cleaned up nails and debris outside.",2.0,01/12/2023 08:30,01/12/2023 10:30,104,,4522 Winnrose Way,Louisville,KY,40211
THGT3JT,OTHER_WORK_CATEGORY,Mike Guelda,Multiple repairs,"Replaced lightbulbs in kitchen and bathroom. 

Stove elements were older and showing signs of wear. 

Replaced all elements and drip pans. 

Tested stove. All elements get hot after repairs. 

Microwave shower PF on display, indicating a loss of power. Hit the cancel button to reset. 
Microwave works after reset. 

Bathroom floor is glue down tiles. 
All tiles are loose. 
Will create an estimate for linoleum flooring.",2.0,01/12/2023 10:30,01/12/2023 12:30,109,,4522 Winnrose Way,Louisville,KY,40211
T0LNGUF,OTHER_WORK_CATEGORY,Mike Guelda,Multiple repairs,"Checked for leaks in attic space. 
It is raining today and I did not see any drips or leaks. 
If more water leaks, the tenant will take pictures and we will go from there. 

Front door weatherstrips we're worn and damaged. 
Replaced with new weather strip. 

Replaced screws in top hinge on front door. 

Front door was missing both strike plates for knob and deadbolt. 

Installed new strike plates. 

Transition strips between carpet and linoleum are broken. 

Will return with proper equipment to complete the job.",2.0,01/12/2023 13:00,01/12/2023 15:00,231,,4522 Winnrose Way,Louisville,KY,40211
TW86ABDB,PLUMBING,Mike Guelda,Main line.,"Main line issue. 

Sump pump is connected to main sewer line. 

When running water anywhere in house the water backs up the sump pump line and back into the basement. 

Referral to Dixie Plumbing.",1.0,01/12/2023 15:00,01/12/2023 16:00,1,,3028 Wurtele Avenue,Louisville,KY,40216
TPC0ZHCB,ELECTRICAL,Albert Hardesty,Maintenance,,1.5,01/12/2023 14:00,01/12/2023 15:30,2B,,302 Keeneland Drive,Elizabethtown,KY,42701
TV7284Z,DOORS,Albert Hardesty,Maintenance,,3.0,01/12/2023 09:00,01/12/2023 12:00,2,,810 West Vine Street,Radcliff,KY,40160
T27YPM9,PLUMBING,Albert Hardesty,Maintenance,"Had to cut wall out to repair washer supply lines 
Installed new supply shut off valves 
Installed new supply lines 
Repaired toilet 
Repaired vanity faucet",3.0,01/12/2023 15:00,01/12/2023 18:00,6,,621 Westport Road,Elizabethtown,KY,42701
TK421DB,LOCKS,Albert Hardesty,Maintenance,,1.5,01/12/2023 12:00,01/12/2023 13:30,2B,,304 Keeneland Drive,Elizabethtown,KY,42701
TWP4I8H,GENERAL,Albert Hardesty,Maintenance,,1.5,01/12/2023 07:30,01/12/2023 09:00,4,,1568 Illinois Road,Radcliff,KY,40160
TXXBRDH,PLUMBING,Albert Hardesty,Maintenance,,2.0,01/12/2023 17:30,01/12/2023 19:30,1,,810 West Vine Street,Radcliff,KY,40160
TLGD1X9,APPLIANCES,Mike Guelda,Refrigerator,"Refrigerator is brand new. Freezer is overloaded, preventing cold air from making it to refrigerator. 

Informed tenant to reduce amount of food in freezer. If problem persists after clearing freezer to call us. 

Checked compressor just to be sure. 
Compressor is quiet, and not hot to the touch.",1.0,01/13/2023 08:00,01/13/2023 09:00,1,,505 North 38th Street,Louisville,KY,40212
TRJY28BB,ROOFING,Albert Hardesty,Maintenance,,1.0,01/13/2023 07:30,01/13/2023 08:30,1,,414 North 38th Street,Louisville,KY,40212
TRJY28BB,ROOFING,Albert Hardesty,Maintenance,,9.0,01/13/2023 08:00,01/13/2023 17:00,1,,414 North 38th Street,Louisville,KY,40212
TPIHGHU,CARPENTRY,Albert Hardesty,Maintenance,,1.5,01/13/2023 09:00,01/13/2023 10:30,2,,2147 Duncan Street,Louisville,KY,40212
T7A7NFJ,OTHER_WORK_CATEGORY,Mike Guelda,Multiple repairs,"Storm door closer was jammed and no longer working. 

Replaced with new closer. 

Closet rod upstairs had fallen. 
Was held up with 2x4 that was toe nailed to stud. 

Reinstalled 2x4 using screws and brackets. 

Basement doorknob was loose. 
Adjusted knobs and tightened set screws. 

Kitchen sink drain leaked from broken tailpiece and nut. 
Replaced tailpiece and nut. 
No leak after repair. 

Refrigerator parts are on back order, already a Meld for that.",3.0,01/13/2023 09:00,01/13/2023 12:00,1,,514 Compton Street,Louisville,KY,40208
TPQYR8X,TOILET,Mike Guelda,Closet rods.,"Installed 4 new closet rods in all bedroom closets. 

Toilet was repaired when I got here.",2.5,01/13/2023 13:00,01/13/2023 15:30,1,,1240 Algonquin Parkway,Louisville,KY,40208
TU4WJVT,ELECTRICAL,Mike Guelda,Kitchen faucet.,"No hot or cold water at kitchen faucet. 

All valves are open. 

Screen at end of faucet is clear.",1.0,01/13/2023 16:00,01/13/2023 17:00,1,,820 Winkler Avenue,Louisville,KY,40208
TKBB1W0,PLUMBING,Albert Hardesty,Maintenance,,1.5,01/13/2023 18:00,01/13/2023 19:30,13,,7602 Garrison Road,Louisville,KY,40214
TU6QCZ2,PLUMBING,Albert Hardesty,Maintenance,,2.0,01/13/2023 19:00,01/13/2023 21:00,9,,7602 Garrison Road,Louisville,KY,40214
TY43LZKB,TOILET,Albert Hardesty,Maintenance,,1.5,01/13/2023 15:30,01/13/2023 17:00,11,,1601-1603 Gagel Avenue,Louisville,KY,40216
TPLXX8M,GENERAL,Albert Hardesty,Maintenance,,2.0,01/13/2023 14:00,01/13/2023 16:00,126,,4522 Winnrose Way,Louisville,KY,40211
T8AUMFV,HVAC,Albert Hardesty,Maintenance,,1.5,01/14/2023 08:00,01/14/2023 09:30,1,,4900 Saddlebrook Lane,Louisville,KY,40216
TPLXX8M,GENERAL,Albert Hardesty,Maintenance,,2.5,01/15/2023 11:30,01/15/2023 14:00,126,,4522 Winnrose Way,Louisville,KY,40211
TZKC7WLB,PLUMBING,Mike Guelda,Roof.,"Tenant answered door and informed me that everyone in apartment is sick. 

Repairs will be rescheduled. 

Tenant did inform me that it only leaks when it rains.",1.0,01/16/2023 08:00,01/16/2023 09:00,3,,2322 West Chestnut Street,Louisville,KY,40211
TAKMHTG,ROOFING,Mike Guelda,Roof.,"Roof is visibly sagging and wavy in places. 

Evidence of leaks in several rooms of the house. 

Referral to roofing company.

Also changed lightbulb for tenant in bedroom.",1.0,01/16/2023 09:00,01/16/2023 10:00,1,,2410 Rowan Street,Louisville,KY,40212
TV8R047,DRYWALL,Mike Guelda,Drywall patch.,"Cleaned up debris left behind by plumber. 

Reinstalled drywall that was cut away by plumber using screws and 2x4. 

Installed access panel behind shower valve for future repairs.",1.5,01/16/2023 11:00,01/16/2023 12:30,3,,4809 Saddlebrook Lane,Louisville,KY,40216
TPLXX8M,GENERAL,Albert Hardesty,Maintenance,,1.0,01/16/2023 14:00,01/16/2023 15:00,126,,4522 Winnrose Way,Louisville,KY,40211
T41W533,PLUMBING,Albert Hardesty,Maintenance,,1.5,01/16/2023 13:00,01/16/2023 14:30,103,,1743 Culbertson Avenue,New Albany,IN,47150
TATVH39,DOORS,Albert Hardesty,Maintenance,,2.0,01/16/2023 08:00,01/16/2023 10:00,4,,1743 Culbertson Avenue,New Albany,IN,47150
TE84T52,GENERAL,Albert Hardesty,Maintenance,,3.5,01/16/2023 10:00,01/16/2023 13:30,102,,1743 Culbertson Avenue,New Albany,IN,47150
T4CIW82,CIRCUIT_BREAKER,Mike Guelda,Multiple repairs,"Toilet leaking around wax ring. 
Pulled toilet, replaced wax ring. 
Reinstalled toilet. 

Bottom step cracked and broken. 
Removed broken step. 
Reinforced existing wood with 2x4s. 
Installed new step. Caulked edges and patched small holes left in drywall. 

Freezer continues to ice up after previous repairs. Model number taken and parts estimate will be turned in.",3.0,01/16/2023 14:00,01/16/2023 17:00,1,,6221 Eureka Avenue,Louisville,KY,40216
T1ZLYD4,APPLIANCES,Albert Hardesty,Maintenance,,1.0,01/16/2023 09:30,01/16/2023 10:30,106,,1743 Culbertson Avenue,New Albany,IN,47150
TR10XUC,APPLIANCES,Mike Guelda,Dishwasher and outlet.,"Dishwasher pump is not working at all. 
Dishwasher is 20 years old. 

Will look for parts and price new.",1.0,01/17/2023 08:00,01/17/2023 09:00,2,,184 Cannon Court,Louisville,KY,40229
TQNM9QH,OTHER_WORK_CATEGORY,Mike Guelda,Multiple repairs,"Downstairs bathroom
Closet bolts were rusted completely away. 
Removed toilet. 
Replaced wax ring and closet bolts. 
Replaced aging fill valve and flapper. 

Upstairs bathroom
Water leaking from wax ring. 
Removed toilet. 
Replaced wax ring and closet bolts. 
Replaced aging fill valve and flapper. 
Outlet near sink has no power. 
Removed outlet. 
Hot wire had become disconnected. 
Reinstalled hot wire and reinstalled outlet. 
Outlet is GFCI protected from downstairs bathroom. 

Took pictures of water damage on living room ceiling. 
Will have to return for ceiling repair.",2.5,01/17/2023 09:00,01/17/2023 11:30,1,,184 Cannon Court,Louisville,KY,40229
TCDQ6WJB,GENERAL,Albert Hardesty,Maintenance,,4.0,01/17/2023 08:00,01/17/2023 12:00,1,,1908 Crums Lane,Louisville,KY,40216
TBKPMABB,PEST_CONTROL,Albert Hardesty,Maintenance,,1.5,01/17/2023 11:00,01/17/2023 12:30,12,,1908 Crums Lane,Louisville,KY,40216
T76743DB,WATER_HEATER,Albert Hardesty,Maintenance,,1.5,01/17/2023 12:30,01/17/2023 14:00,2430-208,,2430 McKindree Ct,Louisville,KY,40211
TE5N9W,INTERIOR,Mike Guelda,Multiple repairs.,"Range hood had no power supply. 
Tied into GFCI outlet just below hood. 
Ran wire up to hood. 
Replaced older style GFCI outlet with new. 
Reinstalled range hood. Hooked up power supply. 
Tested functions. 
Fan runs both speeds and light turns off and on. 

Replaced access panel behind water heater. 

Tenant said they had an issue with washing machine drain overflowing. 
Disconnected cold water supply from washing machine. 
Ran water into drain for 5 minutes plus.
No overflow occurred.",2.5,01/17/2023 12:00,01/17/2023 14:30,2,,1705 Valley Forge Way,Louisville,KY,40215
T4I0QDE,APPLIANCES,Albert Hardesty,Maintenance,,1.5,01/17/2023 11:30,01/17/2023 13:00,2430-203,,2430 McKindree Ct,Louisville,KY,40211
TMZDQPCB,PLUMBING,Albert Hardesty,Maintenance,,1.0,01/17/2023 12:00,01/17/2023 13:00,205,,2430 McKindree Ct,Louisville,KY,40211
