Meld,Quantity,Price,Total,Description,Creation Date,Unit,Property Name,Address line 1,City,State,Postal code
,1.00,130.00,130.0000,Supplies,,1,,819 1/2 Beecher Street,Louisville,KY,40215
,1.50,65.00,97.5000,Changed locks,,1,,819 1/2 Beecher Street,Louisville,KY,40215
TMY33AM,,,105.00,"Materials include drywall patch, tape, mud, etc.",01/04/2023 14:19,5,,230 West Blue Lick Road - 5,Shepherdsville,KY,40165
,1.00,65.00,65.0000,Labor 1-4-23,,5,,230 West Blue Lick Road - 5,Shepherdsville,KY,40165
,1.00,40.00,40.0000,Materials,,5,,230 West Blue Lick Road - 5,Shepherdsville,KY,40165
TTK6Q6Y,,,447.50,"Materials include drywall mud, tape, caulk, paper towels, and trash bags.",01/04/2023 14:26,6,,230 West Blue Lick Road - 6,Shepherdsville,KY,40165
,4.50,65.00,292.5000,Labor,,6,,230 West Blue Lick Road - 6,Shepherdsville,KY,40165
,2.00,15.00,30.0000,Drywall patch,,6,,230 West Blue Lick Road - 6,Shepherdsville,KY,40165
,1.00,55.00,55.0000,Shower surround,,6,,230 West Blue Lick Road - 6,Shepherdsville,KY,40165
,1.00,30.00,30.0000,Tub spout,,6,,230 West Blue Lick Road - 6,Shepherdsville,KY,40165
,1.00,40.00,40.0000,Materials,,6,,230 West Blue Lick Road - 6,Shepherdsville,KY,40165
T63PYFKB,,,132.50,"Materials include paper towels, trash bags, thrifts drain treatment.",01/04/2023 16:31,1,,510 Creel Ave,Louisville,KY,40208
,1.00,35.00,35.0000,Materials,,1,,510 Creel Ave,Louisville,KY,40208
,1.50,65.00,97.5000,Kitchen drain was completely blocked.  Drained water out of sinks and drain. No sign of food or grease in drain.   Ran snake all the way to the end.  Hit blockage close to end of snake. Snake came back covered in black flecks. Cause of clog was sediment.  Pulled snake and reassembled drain.  Tested drain.  Draining but still slow.  Treated with thrifts.  After several minutes clog broke free.  Sink drains properly after repairs.,,1,,510 Creel Ave,Louisville,KY,40208
TIA353DB,,,65.00,,01/04/2023 17:39,1,,2147 Duncan Street - 1,Louisville,KY,40212
,1.00,65.00,65.0000,House meter turned off due to changing of service.   LG&E should be there tonight to turn it back on.,,1,,2147 Duncan Street - 1,Louisville,KY,40212
TRE4LB9,,,102.50,Materials include screws and composite shim.,01/05/2023 08:55,1,,439 North 38th Street,Louisville,KY,40212
,1.50,65.00,97.5000,Labor 1-5-23,,1,,439 North 38th Street,Louisville,KY,40212
,1.00,5.00,5.0000,Materials 1-5-23,,1,,439 North 38th Street,Louisville,KY,40212
TC39CJCB,,,65.00,,01/05/2023 10:41,11,,212 East 13th Street- 11,New Albany,IN,47150
,1.00,65.00,65.0000,Labor,,11,,212 East 13th Street- 11,New Albany,IN,47150
TBLBMW9,,,140.00,,01/05/2023 10:55,1,,2802 Duncan Street,Louisville,KY,40212
,1.00,75.00,75.0000,Materials,,1,,2802 Duncan Street,Louisville,KY,40212
,1.00,65.00,65.0000,set out. Changed locks,,1,,2802 Duncan Street,Louisville,KY,40212
TVHJ1HEB,,,250.00,,01/05/2023 10:58,868,,868 Marian Village Dr.,Shelbyville,KY,40065
,1.00,185.00,185.0000,Materials,,868,,868 Marian Village Dr.,Shelbyville,KY,40065
,1.00,65.00,65.0000,Replace door gasket,,868,,868 Marian Village Dr.,Shelbyville,KY,40065
TI6F254,,,370.00,,01/05/2023 10:59,4,,4901 Saddlebrook Lane - 4,Louisville,KY,40216
,1.00,240.00,240.0000,Materials,,4,,4901 Saddlebrook Lane - 4,Louisville,KY,40216
,2.00,65.00,130.0000,Replace breaker,,4,,4901 Saddlebrook Lane - 4,Louisville,KY,40216
TZNY9RDB,,,65.00,,01/05/2023 11:29,6,,4902 Saddlebrook Lane - 6,Louisville,KY,40216
,1.00,65.00,65.0000,Present for section 8 inspection.   Made one minor repair on a plug.  Hot wire loose.   Passed inspection.,,6,,4902 Saddlebrook Lane - 6,Louisville,KY,40216
T9QR5UH,,,77.00,,01/05/2023 12:06,4,,1002 East Main St,New Albany,IN,47150
,1.00,12.00,12.0000,Materials,,4,,1002 East Main St,New Albany,IN,47150
,1.00,65.00,65.0000,Change mailbox lock,,4,,1002 East Main St,New Albany,IN,47150
TL1K4F5,,,105.00,,01/05/2023 13:10,6A,,402 North Hite Avenue 6A,Louisville,KY,40206
,1.00,40.00,40.0000,Deadbolt,,6A,,402 North Hite Avenue 6A,Louisville,KY,40206
,1.00,65.00,65.0000,Drilled deadbolt.  Sheriff search apartment.   Replaced deadbolt.,,6A,,402 North Hite Avenue 6A,Louisville,KY,40206
T4WKVX8,,,70.00,,01/05/2023 13:42,1B,,402 North Hite Avenue,Louisville,KY,40206
,1.00,5.00,5.0000,Nails.,,1B,,402 North Hite Avenue,Louisville,KY,40206
,1.00,65.00,65.0000,Tightened set screw on front door handle.   Tightened screws on bannister.   Reinstalled transition strip at top of stairs with finish nails.,,1B,,402 North Hite Avenue,Louisville,KY,40206
TLBH4CK,,,90.00,,01/05/2023 15:09,1,,3758 Lentz Avenue,Louisville,KY,40215
,1.00,25.00,25.0000,Passage knob,,1,,3758 Lentz Avenue,Louisville,KY,40215
,1.00,65.00,65.0000,Removed locking doorknob and replaced with passage knob.,,1,,3758 Lentz Avenue,Louisville,KY,40215
T4GA840,,,170.00,"Repaired flame sensors 
Repaired thermostat",01/05/2023 19:55,5,,4901 Saddlebrook Lane - 5,Louisville,KY,40216
,1.00,35.00,35.0000,Supplies,,5,,4901 Saddlebrook Lane - 5,Louisville,KY,40216
,1.50,65.00,97.5000,Repaired flame sincere Repaired thermostat,,5,,4901 Saddlebrook Lane - 5,Louisville,KY,40216
,1.50,25.00,37.5000,2nd tech's labor,,5,,4901 Saddlebrook Lane - 5,Louisville,KY,40216
TA1YDVCB,,,210.00,"Cleaned furnace
Repaired flame sensors",01/05/2023 20:02,6,,4903 Saddlebrook Lane - 6,Louisville,KY,40216
,1.00,30.00,30.0000,Supplies,,6,,4903 Saddlebrook Lane - 6,Louisville,KY,40216
,2.00,65.00,130.0000,Repaired flame sensors  Turned gas on tenant had turned everything off  When electrician was working on  main breaker,,6,,4903 Saddlebrook Lane - 6,Louisville,KY,40216
,2.00,25.00,50.0000,2nd tech's labor,,6,,4903 Saddlebrook Lane - 6,Louisville,KY,40216
TT2ZYT0,,,323.00,"Repaired shower faucet 
Repaired vanity faucet 
Repaired vanity drain 
Repaired kitchen lights 
Repaired bedroom light 
Repaired doors 
Unclogged drain and tub 
I would charge back to tenant $123.00 for clogged toilet and drains there was lots of debris in drains and toilet 
Repaired tub drain",01/05/2023 20:07,1,,3339 Taylor Boulevard - 1,Louisville,KY,40215
,1.00,98.00,98.0000,Supplies,,1,,3339 Taylor Boulevard - 1,Louisville,KY,40215
,2.50,65.00,162.5000,Repaired doors  Repaired light in kitchen  Repaired cabinet  Repaired toilet  Repaired vanity faucet and drain  Re soffit  Repaired plug,,1,,3339 Taylor Boulevard - 1,Louisville,KY,40215
,2.50,25.00,62.5000,2nd tech's labor,,1,,3339 Taylor Boulevard - 1,Louisville,KY,40215
TRRHQMFB,,,374.50,"Install New shower faucet cartridge
Install new tub spout
Repaired bathroom window
Repaired vanity cabinet
Repaired vanity faucet
Installed new toilet seat
Repaired multiple plugs cool broken wall plates and burnt plug
Repaired multiple plugs cool broken wall plates and burnt plug 
Repaired kitchen light
Repaired kitchen sink install new sink basket
Repaired small hole by door knob in bathroom
Install new smoke alarm
Picked up all trash around the outside area
Passed inspection",01/05/2023 20:17,3,,3339 Taylor Boulevard - 3,Louisville,KY,40215
,1.00,142.00,142.0000,Supplies,,3,,3339 Taylor Boulevard - 3,Louisville,KY,40215
,3.00,65.00,195.0000,Install New shower faucet cartridge Install new tub spout Repaired bathroom window Repaired vanity cabinet Repaired vanity faucet Installed new toilet seat Repaired multiple plugs cool broken wall plates and burnt plug Repaired multiple plugs cool broken wall plates and burnt plug  Repaired kitchen light Repaired kitchen sink install new sink basket Repaired small hole by door knob in bathroom Install new smoke alarm Picked up all trash around the outside area Passed inspection,,3,,3339 Taylor Boulevard - 3,Louisville,KY,40215
,1.50,25.00,37.5000,2nd tech's labor,,3,,3339 Taylor Boulevard - 3,Louisville,KY,40215
TRLJQY6,,,505.00,,01/05/2023 20:22,1,,4902 Saddlebrook Lane - 1,Louisville,KY,40216
,1.00,415.00,415.0000,Supplies,,1,,4902 Saddlebrook Lane - 1,Louisville,KY,40216
,1.00,65.00,65.0000,Had to install new smoke alarm/carbon alarms add to put these in all common areas to pass section 8 inspections Building 4902 and building 4901 all alarms or changed in common areas,,1,,4902 Saddlebrook Lane - 1,Louisville,KY,40216
,1.00,25.00,25.0000,2nd tech's labor,,1,,4902 Saddlebrook Lane - 1,Louisville,KY,40216
TNX7B1W,,,176.00,,01/05/2023 20:27,1A,,302 Keeneland Drive - 1A,Elizabethtown,KY,42701
,1.00,41.00,41.0000,Supplies,,1A,,302 Keeneland Drive - 1A,Elizabethtown,KY,42701
,1.50,65.00,97.5000,Repaired toilets  Installed new fill valves,,1A,,302 Keeneland Drive - 1A,Elizabethtown,KY,42701
,1.50,25.00,37.5000,2nd tech's labor,,1A,,302 Keeneland Drive - 1A,Elizabethtown,KY,42701
T185R01,,,409.00,,01/05/2023 20:34,1A,,304 Keeneland Drive - 1A,Elizabethtown,KY,42701
,1.00,214.00,214.0000,Supplies,,1A,,304 Keeneland Drive - 1A,Elizabethtown,KY,42701
,3.00,65.00,195.0000,Repaired bathroom vanity faucet Repaired bathroom vanity drain Installed new toilet old one had a crack in the bowl  Repaired master bedroom door Repaired master bathroom toilet installed new flange  Repaired front door Repaired plug in master bathroom Repaired shower faucet master bath,,1A,,304 Keeneland Drive - 1A,Elizabethtown,KY,42701
TGWI1PJ,,,0.00,Tenant did not want the locks changed,01/05/2023 20:37,1,,500 East Ormsby Avenue - 1,Louisville,KY,40203
,1.00,0.00,0.0000,Al labor,,1,,500 East Ormsby Avenue - 1,Louisville,KY,40203
TRNTEL3,,,284.00,"Repaired toilet 
Repaired vanity faucet and drain 
Repaired laundry room doors 
Filled a few holes 
Took pictures of all floors 
Office will schedule for repairs


Office will schedule for repairs once we get approval",01/05/2023 20:50,1,,500 East Ormsby Avenue - 1,Louisville,KY,40203
,2.50,65.00,162.5000,Labor,,1,,500 East Ormsby Avenue - 1,Louisville,KY,40203
,2.50,25.00,62.5000,2nd tech's labor,,1,,500 East Ormsby Avenue - 1,Louisville,KY,40203
,1.00,59.00,59.0000,Supplies,,1,,500 East Ormsby Avenue - 1,Louisville,KY,40203
THWYKCBB,,,65.00,,01/06/2023 08:18,A,,170 Gillette Avenue A,Louisville,KY,40214
,1.00,65.00,65.0000,Labor,,A,,170 Gillette Avenue A,Louisville,KY,40214
TZK19GG,,,700.00,,01/06/2023 10:35,626,,626 Marian Village Dr.,Shelbyville,KY,40065
,1.00,700.00,700.0000,Delivered stove,,626,,626 Marian Village Dr.,Shelbyville,KY,40065
TG90G3K,,,65.00,,01/06/2023 11:26,10,,1002 East Main St,New Albany,IN,47150
,1.00,65.00,65.0000,Labor-Check issue. Will be sending out electrician,,10,,1002 East Main St,New Albany,IN,47150
TFAK4KCB,,,274.50,"Materials include paper towels, caulk, screws, expanding foam, etc.",01/06/2023 11:29,1,,819 1/2 Beecher Street,Louisville,KY,40215
,2.00,25.00,50.0000,Privacy knobs,,1,,819 1/2 Beecher Street,Louisville,KY,40215
,1.00,12.00,12.0000,Trim,,1,,819 1/2 Beecher Street,Louisville,KY,40215
,1.00,50.00,50.0000,Materials,,1,,819 1/2 Beecher Street,Louisville,KY,40215
,2.50,65.00,162.5000,Hot water issue was dealt with before I got here.   Bedroom doorknobs were a keyed knob and passage knob.  Replaced both knobs with privacy knobs.   Bathroom door already had privacy knob.  Adjusted strike plate and latch.  Closes and locks.   Gap between wall and ceiling in upstairs bedroom.  Filled larger parts of gap with expanding foam.  Covered gap with a piece of trim.  Caulked trim for airtight seal.   Also caulked gap above cabinets in kitchen.   Front entry doorknob latch was backwards. Turned it around and reinstalled knob.,,1,,819 1/2 Beecher Street,Louisville,KY,40215
T0K4765,,,122.50,,01/06/2023 12:06,1,,2750 Montana Avenue,Louisville,KY,40208
,1.00,25.00,25.0000,Fill valve.,,1,,2750 Montana Avenue,Louisville,KY,40208
,1.50,65.00,97.5000,Old Mansfield valve was no longer shutting off correctly.   Replaced with new fluidmaster fill valve. No leak after repairs.,,1,,2750 Montana Avenue,Louisville,KY,40208
TJ16R55,,,90.00,,01/06/2023 12:57,2B,,402 North Hite Avenue 2B,Louisville,KY,40206
,1.00,25.00,25.0000,Fill valve.,,2B,,402 North Hite Avenue 2B,Louisville,KY,40206
,1.00,65.00,65.0000,Fill valve was old style fluidmaster.   Replaced with new fluidmaster fill valve.   No leaks. Toilet fills then stops.,,2B,,402 North Hite Avenue 2B,Louisville,KY,40206
TXL78IW,,,245.00,,01/06/2023 13:35,15,,7602 Garrison Road - 15,Louisville,KY,40214
,1.00,245.00,245.0000,Checked for power and found which meter base is for apt 15. Found there wasn't a meter installed. Instructed tenant to call LGE to restore power.,,15,,7602 Garrison Road - 15,Louisville,KY,40214
TKB73HEB,,,127.50,,01/06/2023 14:54,3,,1035 Baxter Ave - 3,Louisville,KY,40204
,1.00,30.00,30.0000,Trash bags,,3,,1035 Baxter Ave - 3,Louisville,KY,40204
,1.50,65.00,97.5000,Tenants still in apartment when the sheriff's and myself arrived.   Work crew removed all personal belongings f om apartment and placed out front.   Will need to be trashed out.   Locks changed to V key and all windows secured.,,3,,1035 Baxter Ave - 3,Louisville,KY,40204
TQY2QZN,,,65.00,,01/06/2023 15:54,2,,601 Revolutionary Road - 2,Louisville,KY,40214
,1.00,65.00,65.0000,Unclogged kitchen drain,,2,,601 Revolutionary Road - 2,Louisville,KY,40214
T7WYDZ1,,,277.50,Materials include paper towels and trash bags.,01/06/2023 19:23,8,,4728 Southern Parkway - 8,Louisville,KY,40214
,1.00,35.00,35.0000,Materials,,8,,4728 Southern Parkway - 8,Louisville,KY,40214
,2.00,65.00,130.0000,Labor,,8,,4728 Southern Parkway - 8,Louisville,KY,40214
,1.00,97.50,97.5000,Labor overtime,,8,,4728 Southern Parkway - 8,Louisville,KY,40214
,1.00,10.00,10.0000,Wax ring,,8,,4728 Southern Parkway - 8,Louisville,KY,40214
,1.00,5.00,5.0000,Materials,,8,,4728 Southern Parkway - 8,Louisville,KY,40214
TPD1FALB,,,65.00,,01/07/2023 14:27,13,,111 E O'Bryan Avenue-13,Bardstown,KY,40004
,1.00,65.00,65.0000,Main breaker in the boiler room for TP13 was tripped.,,13,,111 E O'Bryan Avenue-13,Bardstown,KY,40004
TVF0RFU,,,124.23,,01/07/2023 19:32,12,,111 E O'Bryan Avenue-12,Bardstown,KY,40004
,1.00,59.23,59.2300,Smart lock,,12,,111 E O'Bryan Avenue-12,Bardstown,KY,40004
,1.00,65.00,65.0000,Unlocked door for set out and changed door lock to a smart lock,,12,,111 E O'Bryan Avenue-12,Bardstown,KY,40004
TQUDCV2,,,97.50,,01/07/2023 20:11,106,,100 Slate Run - 106,Bardstown,KY,40004
,1.50,65.00,97.5000,Labor,,106,,100 Slate Run - 106,Bardstown,KY,40004
T8VPF98,,,97.50,"Done walk through for section8 repairs 
Things that need to be repaired 
Unit door jam is split 
Kitchen light needs repaired 
Needs sink strainers 
Repair bedroom door jam 
Bathroom closet door 
Toilet needs repaired loose at base and toilet set
Install need tub spout 
Repair vent in bathroom
Office will schedule for repairs",01/07/2023 20:49,7B,,402 North Hite Avenue,Louisville,KY,40206
,1.50,65.00,97.5000,Walk through for section 8,,7B,,402 North Hite Avenue,Louisville,KY,40206
TPWNTQK,,,191.00,,01/07/2023 20:56,B6,,2505 Brownsboro Road - B6,Louisville,KY,40206
,1.00,56.00,56.0000,Supplies,,B6,,2505 Brownsboro Road - B6,Louisville,KY,40206
,1.50,65.00,97.5000,Installed new smoke alarm  Repaired toilet,,B6,,2505 Brownsboro Road - B6,Louisville,KY,40206
,1.50,25.00,37.5000,2nd tech's labor,,B6,,2505 Brownsboro Road - B6,Louisville,KY,40206
TGMUYBC,,,65.00,,01/07/2023 21:04,132,,100 Slate Run - 132,Bardstown,KY,40004
,1.00,65.00,65.0000,Repair broken wire on oven bake element,,132,,100 Slate Run - 132,Bardstown,KY,40004
TBAVQGJB,,,130.00,Replaced AC unit,01/07/2023 21:13,101,,100 Slate Run - 101,Bardstown,KY,40004
,2.00,65.00,130.0000,Replaced AC unit,,101,,100 Slate Run - 101,Bardstown,KY,40004
TVHAKKB,,,536.00,"Repaired stove 
Repaired broken pice on microwave 
Repaired dishwasher drain 
Repaired loose plugs 
Repaired shower faucet 
Installed tub spout 
Installed shower head 
Repaired closet doors 
Installed GFIs in laundry room 
Installed cabinet knobs 
Installed fill valve and toilet set 
Installed mailbox lock 
Installed porch light globe
Repaired vanity faucet",01/07/2023 21:18,116,,4522 Winnrose Way 116,Louisville,KY,40211
,1.00,176.00,176.0000,Supplies,,116,,4522 Winnrose Way 116,Louisville,KY,40211
,4.00,65.00,260.0000,Repaired stove  Repaired broken pice on microwave  Repaired dishwasher drain  Repaired loose plugs  Repaired shower faucet  Installed tub spout  Installed shower head  Repaired closet doors  Installed GFIs in laundry room  Installed cabinet knobs  Installed fill valve and toilet set  Installed mailbox lock  Installed porch light globe Repaired vanity faucet,,116,,4522 Winnrose Way 116,Louisville,KY,40211
,4.00,25.00,100.0000,2nd techs' labor,,116,,4522 Winnrose Way 116,Louisville,KY,40211
TEEGP8EB,,,85.00,,01/08/2023 11:05,2430-207,,2430 McKindree Ct-207,Louisville,KY,40211
,1.00,85.00,85.0000,Breaker for front bathroom and living room was thrown.   Reset breaker. Unplugged area heater in living room.   Lights and plugs working after repairs.,,2430-207,,2430 McKindree Ct-207,Louisville,KY,40211
TYF1HM9,,,160.00,"Materials include screws, paper towels, caulk, door stop.",01/09/2023 09:44,B,,1423 East Breckinridge Street - B,Louisville,KY,40204
,1.00,20.00,20.0000,Exterior light fixture.,,B,,1423 East Breckinridge Street - B,Louisville,KY,40204
,1.00,10.00,10.0000,Materials,,B,,1423 East Breckinridge Street - B,Louisville,KY,40204
,2.00,65.00,130.0000,"Dishwasher was clogged with non food debris like plastic.  Cleared drain, rinsed drain parts.  Ran cycle to test.  Dishwasher is noisy, but runs and drains fully.   Installed new doorstop.   Bathroom sink drain. Tenant tightened slip nuts. No longer leaks.   When I arrived I noticed the exterior lights were missing and live wires were sticking out of the wall.  One light fixture was on the front porch.  Reinstalled front door light.  Installed new light at patio.",,B,,1423 East Breckinridge Street - B,Louisville,KY,40204
T4J6HK9,,,130.00,,01/09/2023 10:40,512,,512 Marian Village Dr.,Shelbyville,KY,40065
,2.00,65.00,130.0000,Labor,,512,,512 Marian Village Dr.,Shelbyville,KY,40065
TFQAE3MB,,,97.50,,01/09/2023 10:42,872,,872 Marian Village Dr.,Shelbyville,KY,40065
,1.50,65.00,97.5000,Unclogged drain,,872,,872 Marian Village Dr.,Shelbyville,KY,40065
TEVDZZ5,,,130.00,,01/09/2023 10:43,2177,,2177 Baringer Avenue,Louisville,KY,40204
,2.00,65.00,130.0000,Set out. Changed locks,,2177,,2177 Baringer Avenue,Louisville,KY,40204
TF84U6DB,,,65.00,,01/09/2023 10:45,514,,514 Marian Village Dr.,Shelbyville,KY,40065
,1.00,65.00,65.0000,Reset breaker,,514,,514 Marian Village Dr.,Shelbyville,KY,40065
TJ48UCG,,,65.00,,01/09/2023 10:46,3,,1747 East Oak Street - 3,New Albany,IN,47150
,1.00,65.00,65.0000,Reset GFI,,3,,1747 East Oak Street - 3,New Albany,IN,47150
TY57MZY,,,65.00,,01/09/2023 11:13,31,,111 E O'Bryan Avenue-31,Bardstown,KY,40004
,1.00,65.00,65.0000,Rekeyed door,,31,,111 E O'Bryan Avenue-31,Bardstown,KY,40004
T6NEY9P,,,127.50,,01/09/2023 12:04,2177,,2177 Baringer Avenue,Louisville,KY,40204
,1.50,65.00,97.5000,Door is old and too thin for a deadbolt or standard doorknob.   Installed lock on door and striking plate to frame.   Door is old and warped.   Recommend replacing in the future.,,2177,,2177 Baringer Avenue,Louisville,KY,40204
,1.00,30.00,30.0000,Deadlock,,2177,,2177 Baringer Avenue,Louisville,KY,40204
TELQ61V,,,65.00,,01/09/2023 12:05,2,,1035 Baxter Ave - 2,Louisville,KY,40204
,1.00,65.00,65.0000,Reconnected sink drain in unit 3,,2,,1035 Baxter Ave - 2,Louisville,KY,40204
TNDJYV9,,,65.00,,01/09/2023 12:19,40,,111 E O'Bryan Avenue-40,Bardstown,KY,40004
,1.00,65.00,65.0000,Checked under bathroom sink and behind water heater for leaks,,40,,111 E O'Bryan Avenue-40,Bardstown,KY,40004
TQ646KGB,,,65.00,,01/09/2023 12:20,2A,,402 North Hite Avenue,Louisville,KY,40206
,1.00,65.00,65.0000,Checked issue with water. There was a main break that LWC was working on.,,2A,,402 North Hite Avenue,Louisville,KY,40206
THMRBEN,,,97.50,,01/09/2023 15:01,3,,4809 Saddlebrook Lane - 3,Louisville,KY,40216
