Unit,Property Name,Address line 1,City,State,Postal code,Meld creation date,Tenant presence required,Work category,Work location,Priority,Detailed description,Description,Meld status,Meld number,Started,Due date,Meld completion date,Meld completion notes,Meld canceled,Meld cancel reason,Meld reason not completed,Meld rating,Tags,Review Date,Tenant review,Assignee,Maintenance notes,Vendor accept date,Appointment,Meld URL,Propertyware work order,Rent Manager service issue
1,,9806 Saturn Dr,Louisville,KY,40229,07/06/2023 08:02,No,Heating/AC,Laundry Room,Medium," Just noticed that my house isnt really cold as well. Checked my air and it says 76 its rising since ive been home this evening. Checked my vents and their not cold, just seems like air is blowing out of them. Thanks.
I work from home so anytime is fine to come.",Air Isnt Working (clone),Pending more vendor availability,TACK4TKB,07/06/2023 08:35,,,,,,,,,,,Allstate Mechanical,,07/06/2023 08:35,,https://app.propertymeld.com/1912/m/1912/meld/5657399/summary/,,
1,,9806 Saturn Dr,Louisville,KY,40229,07/05/2023 22:50,No,Water Heater,Laundry Room,Medium,I tried relighting it per previous instructions the last time we had this happen and its not working. hot water not working and the light is off. ,Hot Water Heater Out Again ,Pending completion,TGU9Q0V,07/06/2023 09:05,,,,,,,,,,,Dixie Plumbing,,07/06/2023 09:05,07/06/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5656448/summary/,,
621-5,,621 S 44th Street -5,Louisville,KY,40211,07/05/2023 22:05,No,Water Heater,Basement,Medium,The water is not hot.,There is no hot water,Pending completion,TWQ2QMI,07/06/2023 09:06,,,,,,,,,,,Dixie Plumbing,,07/06/2023 09:06,07/06/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5656323/summary/,,
107,,4522 Winnrose Way 107,Louisville,KY,40211,07/05/2023 21:31,No,Drywall,Bedroom,Medium,"Entire closet shelf and bar fell down, all clothes on floor. ",Closet shelf and bar fell down ,Pending more management availability,TDHFI5X,,07/07/2023,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5656201/summary/,,
B6,,4604 Southern Parkway - B6,Louisville,KY,40214,07/05/2023 20:23,No,Appliances,Kitchen,Medium,Refrigerator is gone out. I have both the freezer and the refrigerator on high setting and nothing is cold. Please send some one out here to look at and repair,Broken refrigerator,Pending more management availability,T2D36C0,,,,,,,,,Multi- South End,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5655909/summary/,,
627-4,,627 S 44th Street -4,Louisville,KY,40211,07/05/2023 17:36,No,Heating/AC,HVAC,Low,Need to replace thermostat batteries. ,Thermostat,Pending more management availability,TNRXDZAB,,,,,,,,,Multi-West End,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5654704/summary/,,
1,,6530 Estele Avenue,Louisville,KY,40214,07/05/2023 17:20,Yes,Water Heater,Utility closet,Medium,Hot water is out,Hot water is out,Pending completion,TC6X2DB,07/06/2023 09:01,,,,,,,,,,,Dixie Plumbing,,07/06/2023 09:01,07/06/2023 12:00,https://app.propertymeld.com/1912/m/1912/meld/5654515/summary/,,
1,,4300 Cathay Court,Louisville,KY,40219,07/05/2023 16:21,Yes,Doors,Living room,Medium,The front door has always been super hard to open. Today the knob fell off.,New doorknob,Pending more management availability,TQTIYD0,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5653783/summary/,,
4,,2515 Dixie Highway - 4,Shively,KY,40216,07/05/2023 16:07,Yes,Heating/AC,Indoor,Medium,Air conditioner still not working,Air conditioner heat,Pending more vendor availability,TMZE6JG,07/06/2023 08:38,,,,,,,,,,,Allstate Mechanical,,07/06/2023 08:38,,https://app.propertymeld.com/1912/m/1912/meld/5653612/summary/,,
1,,3245 Larkwood Avenue,Louisville,KY,40212,07/05/2023 15:58,No,Plumbing,Bathroom ,Medium,Bathtub isn't draining.,Bathtub,Pending more management availability,TTV302FB,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5653508/summary/,,
1,,103 West Kentucky Street - 1,Louisville,KY,40203,07/05/2023 15:53,No,Cleaning,Apartment,Low,"Please remove any furniture and/or personal belongings that are left behind on Friday 7/7. Vacant unit. Lockbox code: 0987 and on a ""V"" key. Thank you. ",Remove Remaining Personal Items from unit #1,Pending completion,T0WJX0K,07/05/2023 22:14,,,,,,,,,,,Garcias cleaning llc ,,07/05/2023 22:14,07/06/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5653436/summary/,,
1,,6105 Yellowsands Dr,Louisville,KY,40219,07/05/2023 15:49,Yes,Electrical,Breaker is in basement bedroom,Medium,"Our power went out, my husband checked the breaker box and he thinks the main breaker blew 

A service tech went to the property and found a breaker needs to be replaced but was unable to find the correct one",Breaker blew (clone),Pending completion,TFQCLP8,07/05/2023 18:14,,,,,,,,,,,Mingus Electric llc,,07/05/2023 18:14,07/06/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/5653376/summary/,,
607-1,,607 S 44th Street - 1,Louisville,KY,40211,07/05/2023 15:48,No,Cleaning,Dumpster,Low,Please remove bulk junk items from around the dumpster. Thank you.,Bulk Trash Pickup around Dumpster,Pending completion,T1EU11FB,07/05/2023 22:08,,,,,,,,,,,Garcias cleaning llc ,,07/05/2023 22:08,07/06/2023 14:15,https://app.propertymeld.com/1912/m/1912/meld/5653359/summary/,,
11,,7602 Garrison Road - 11,Louisville,KY,40214,07/05/2023 15:24,No,Cleaning,Closet/water heater,Medium,Water all over the carpet close to the water heater that won’t come up.,Water puddle on carpet,Completed,TZP8KUM,07/05/2023 15:27,,07/05/2023 20:00,,,,,,,,,Deluxe Carpet cleaning,,07/05/2023 15:27,07/05/2023 16:00,https://app.propertymeld.com/1912/m/1912/meld/5653072/summary/,,
1,,457 South 41st Street,Louisville,KY,40212,07/05/2023 15:14,No,Cleaning,Full Unit Sales Clean,High,code 0987 or V key,Full Unit Sales Clean,Pending completion,T8P4CV,07/05/2023 22:09,,,,,,,,,,,Garcias cleaning llc ,,07/05/2023 22:09,07/10/2023 09:30,https://app.propertymeld.com/1912/m/1912/meld/5652940/summary/,,
2,,184 Cannon Court - 2,Louisville,KY,40229,07/05/2023 15:08,No,Heating/AC,APARTMENT,High,"AC is not working.
The current temp is 76 degrees.
Warm air is coming through the vents.",AC not working,Pending more vendor availability,T9QL7JIB,07/05/2023 15:24,,,,,,,,,,,Allstate Mechanical,,07/05/2023 15:24,,https://app.propertymeld.com/1912/m/1912/meld/5652864/summary/,,
1,,222 Mud Hen Drive,Shepherdsville,KY,40165,07/05/2023 15:06,No,Heating/AC,Water Heater,Medium,Hot water is not working.,Hot water,Pending completion,TIYF8RM,07/05/2023 15:09,,,,,,,,,,,Dixie Plumbing,,07/05/2023 15:09,07/06/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5652840/summary/,,
1,,5112 Valiant Drive - 1,Louisville,KY,40216,07/05/2023 14:51,No,Heating/AC,APARTMENT,High,"AC is not working. 
Current temp is 78 degrees. 
The thermostat is working fine.
No air is coming through the vents. ",AC not working,Pending more vendor availability,TBNV4U0,07/05/2023 15:05,,,,,,,,,,,Allstate Mechanical,,07/05/2023 15:05,,https://app.propertymeld.com/1912/m/1912/meld/5652638/summary/,,
B11,,4604 Southern Parkway - B11,Louisville,KY,40214,07/05/2023 14:03,No,Flooring,water heater closet,Low,"During recent inspection it was found that the floor in the water heater closet is rotten..

Need estimate for repairs",Floor repair,Pending more management availability,TBNHDTD,,,,,,,,,Multi- South End,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5651974/summary/,,
B8,,4604 Southern Parkway - B8,Louisville,KY,40214,07/05/2023 14:01,No,Plumbing,bathroom,Low,During recent inspection it was found there is an active plumbing leak in the bathroom,Leak,Pending more management availability,TMLG2HG,,,,,,,,,Multi- South End,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5651962/summary/,,
B5,,4604 Southern Parkway - B5,Louisville,KY,40214,07/05/2023 14:01,No,Plumbing,Furnace closet,Low,During recent inspection it was found there is an active water leak in furnace closet,Leak,Pending more management availability,TX27A2JB,,,,,,,,,Multi- South End,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5651943/summary/,,
A7,,4604 Southern Parkway - A7,Louisville,KY,40214,07/05/2023 13:59,No,Plumbing,bathroom,Low,During recent inspection it was found there is an active water leak in bathroom ceiling and water damaging wall,Leak,Pending more management availability,TU20ZPY,,,,,,,,,Multi- South End,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5651919/summary/,,
A4,,4604 Southern Parkway - A4,Louisville,KY,40214,07/05/2023 13:58,No,Plumbing,bathroom,Low,During recent inspection it was found there is an active water leak in the bathroom,Water leak,Pending more management availability,TDIY5WK,,,,,,,,,Multi- South End,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5651906/summary/,,
A3,,4604 Southern Parkway - A3,Louisville,KY,40214,07/05/2023 13:55,No,Pool,bathroom,Low,There is a water leak in the bathroom ceiling.,Ceiling Leak,Pending more management availability,TKDUJ8K,,,,,,,,,Multi- South End,,,Service Team,This was found during recent insurance inspection,,,https://app.propertymeld.com/1912/m/1912/meld/5651868/summary/,,
B7,,4604 Southern Parkway - B7,Louisville,KY,40214,07/05/2023 13:55,Yes,Plumbing,hvac closet,Low,During recent inspection it was found there is a gas leak in the HVAC closet,Gas leak,Pending completion,TJDXPMKB,07/05/2023 14:15,,,,,,,,,,,Dixie Plumbing,,07/05/2023 14:15,07/06/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5651854/summary/,,
A6,,4604 Southern Parkway - A6,Louisville,KY,40214,07/05/2023 13:54,No,Plumbing,backflow,Low,"We received notice that the backflow, RPZ valve needs to be test and results need to be submitted to Louisville Water Company",Backflow tested,Pending completion,T4INBXX,07/06/2023 09:00,,,,,,,,,,,Dixie Plumbing,,07/06/2023 09:00,07/11/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5651843/summary/,,
B13,,4604 Southern Parkway - B13,Louisville,KY,40214,07/05/2023 13:50,Yes,Plumbing,unknown,Low,During recent inspection it was found that there is gas leak. Not sure where the gas leak is coming from.,Gas leaak,Pending completion,T5I8M3IB,07/05/2023 14:17,,,,,,,,,,,Dixie Plumbing,,07/05/2023 14:17,07/06/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5651779/summary/,,
B5,,4704 Southern Parkway - B5,Louisville,KY,40214,07/05/2023 13:43,No,Evaluation,Exterior,Medium,The concrete walkway is crumbling on the bottom and pulling away from the rebar. Some chunks have already dislodged and have fallen. Please assess whole pathway (other end looks like it may be doing the same thing). Thank you. ,Concrete Walkway Issues,Pending more vendor availability,TVV1799,07/05/2023 13:45,,,,,,,,,,,LREI Turns,,07/05/2023 13:45,,https://app.propertymeld.com/1912/m/1912/meld/5651695/summary/,,
1,,5509 Phoenix Hill Ct,Louisville,KY,40207,07/05/2023 13:38,No,Landscaping,Outside of house,Medium,Looks like a tree fell and crashed against the side of the house during the storm last week. Please take care of removal and cleanup as soon as possible.,Tree fell against house,Pending more vendor availability,TNWDPVFB,07/05/2023 14:48,,,,,,,,,,,Complete Landscaping & Lighting,,07/05/2023 14:48,,https://app.propertymeld.com/1912/m/1912/meld/5651637/summary/,,
1,,4300 Cathay Court,Louisville,KY,40219,07/05/2023 13:18,Yes,Exterior,Back yard,Low,"The back fence is smashed from the tree falling

Top rail took the worst of the damage. 
Posts are all still good. 
Post caps will need to be replaced. 
Chain link fence can be reused",Fence damaged from tree (clone),Pending more management availability,TGL2TUGB,,,,,,,,,Owner Approved,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5651359/summary/,,
17,,1002 East Main St,New Albany,IN,47150,07/05/2023 13:01,Yes,Blinds/Window treatments,Bedroom,Medium,She wants to request window blind replacement for her bedroom window.,Window Blinds,Pending more management availability,TBQ39B6,,07/07/2023,,,,,,,Multi-Indiana,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5651150/summary/,,
4,,1711 Valley Forge Way - 4,Louisville,KY,40215,07/05/2023 12:47,No,Heating/AC,hvac,Low,"AC is not cutting on 

Vacant unit
Lockbox code 0615
D key",HVAC (clone) (clone),Pending more vendor availability,TP75UZ0,07/05/2023 12:48,,,,,,,,"Vacant,Section 8",,,Allstate Mechanical,,07/05/2023 12:48,,https://app.propertymeld.com/1912/m/1912/meld/5650968/summary/,,
11,,212 East 13th Street- 11,New Albany,IN,47150,07/05/2023 12:20,No,Heating/AC,APARTMENT,High,"AC is not working.
The current temp is 85 degrees.
Warm air is coming through the vents. ",AC not working,Pending more vendor availability,TV1FM2K,07/05/2023 12:22,,,,,,,,,,,Allstate Mechanical,,07/05/2023 12:22,,https://app.propertymeld.com/1912/m/1912/meld/5650625/summary/,,
1,,1732 West Burnett Avenue,Louisville,KY,40210,07/05/2023 12:13,No,General,Living room ,Low,"Have a lot of ants coming in. And bugs. Mostly ants. Need pest control. 
502-418-8983
Mr. Gary Fawbush",Ants and bugs,Pending completion,TAQ02VH,07/05/2023 13:59,,,,,,,,,,,EnviroSafe Termite & Pest Control,,07/05/2023 13:59,07/12/2023 15:00,https://app.propertymeld.com/1912/m/1912/meld/5650543/summary/,,
2430-107,,2430 McKindree Ct-107,Louisville,KY,40211,07/05/2023 11:59,No,Doors,Main Door,Low,"According to the tenant, her son talked to one of our maintenance guys and showed how light the entrance door is and that it could be opened  by a lightweight person easily even if it's locked.Unsecured",Unsecured Door,Pending meld assignment,TUP590Q,,,,,,,,,Broadway Place,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5650347/summary/,,
1,,1812 Pershing Avenue,Louisville,KY,40242,07/05/2023 11:55,No,Other,Exterior,Low,"gate on right side is off hinge(s)
Tenant request dirt-fill for depressed area (with other debris) in back yard",Multiple Issues (clone),Pending more management availability,TJWWCGI,,,,,,,,,"Owner Approved,SFH - East",,,Service Team,"Estimate for gate repairs. 
$270 in materials. 2 people for 5 hours each. Total of 10 hours of labor. The time would be split between 2 days. One day to dig the old concrete footer out and reset the post to the left on a new footer. Then return after concrete has set to rebuild gate.
OWNER APPROVED


The area that needs to be filled will have to have rocks removed and vegetation removed before we can estimate how much fill dirt is needed to level area. 2 people 4 hours of labor each. Total of 8 hours to prep area.

OWNER APPROVED",,,https://app.propertymeld.com/1912/m/1912/meld/5650284/summary/,,
1,,4909 Saddlebrook Lane - 1,Louisville,KY,40216,07/05/2023 11:52,No,Other,APARTMENT,Medium,"The ceiling in the kitchen needs to be fixed. There is a crack in the ceiling.
The stove is not working.
The bathtub faucet needs to be fixed. It came off the wall.",Multiple Issues (clone),Pending more management availability,TUT7G1V,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5650252/summary/,,
1,,1240 Algonquin Parkway,Louisville,KY,40208,07/05/2023 11:39,Yes,General,Entire property,Low,"In the second room the door is off the hinges

Reinstalled door in second room. 
Replace door with hollow core door with new hinges. - Owner approved

",Inspection Repairs - Bedroom door(clone),Pending more management availability,TZYLL5H,,,,,,,,,,,,Service Team,"These are all notes from recent St. Vincent inspection. Reinspection is scheduled for 6/28
Upload pictures of everything once complete",,,https://app.propertymeld.com/1912/m/1912/meld/5650035/summary/,,
1,,817 South 36th Street,Louisville,KY,40211,07/05/2023 11:12,No,Heating/AC,unit,Medium,"Ac is not blowing cold air. Please call her back at  (502) 533-6819. Also, she wants someone to leave her a note in case maintenance arrived and she's not around. She just wants to be informed if they've arrived and have fixed the ac issue",AC Issue,Pending more vendor availability,TU0BNICB,07/05/2023 14:23,,,,,,,,,,,Allstate Mechanical,,07/05/2023 14:23,,https://app.propertymeld.com/1912/m/1912/meld/5649698/summary/,,
39,,111 E O'Bryan Avenue-39,Bardstown,KY,40004,07/05/2023 11:03,No,Plumbing,bathroom,Low,"Bathroom drain is clogged

Vacant
Lockbox is on the rail next to the door - code 0987",Clogged Drain,Pending completion,TAH8Q5B,07/05/2023 11:19,,,,,,,,Vacant,,,Dixie Plumbing,,07/05/2023 11:19,07/06/2023 07:00,https://app.propertymeld.com/1912/m/1912/meld/5649594/summary/,,
1,,122 Oxford Place,Louisville,KY,40207,07/05/2023 10:49,Yes,Other,Basement,Medium,Basement light on the left side of the finished part is out.,Basement lights,Pending more management availability,TD631Q3,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5649442/summary/,,
1,,122 Oxford Place,Louisville,KY,40207,07/05/2023 10:45,Yes,Smoke Detector/CO detectors,Basement,Medium,Both smoke detectors in the basement have gone out. They need to be replaced.,Smoke Detectors,Pending more management availability,T4VVLEG,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5649392/summary/,,
607-4,,607 S 44th Street - 4,Louisville,KY,40211,07/05/2023 10:41,No,Heating/AC,APARTMENT,High,"AC is not working. 
No air is coming through the vents. 
",AC not working,Pending more vendor availability,T1J8G7E,07/05/2023 11:07,,,,,,,,,,,Allstate Mechanical,,07/05/2023 11:07,,https://app.propertymeld.com/1912/m/1912/meld/5649340/summary/,,
2,,2147 Duncan Street - 2,Louisville,KY,40212,07/05/2023 09:52,Yes,Doors,bedroom,Low,"Bedroom doorknob fell out
the bathroom outlets are not working nor reset button
The tub is pealing again.",Door,Pending more management availability,TX2IZNU,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5648773/summary/,,
2,,2209 7th Street Road - 2,Louisville,KY,40208,07/05/2023 09:49,Yes,Interior,bedroom,Low,The closet rod has falling it will not stay up.,closet,Pending more management availability,T3N0HFM,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5648742/summary/,,
2,,4900 Saddlebrook Lane - 2,Louisville,KY,40216,07/05/2023 09:17,No,Heating/AC,APARTMENT,High,"AC is not working.
The current temp is 85 degrees.
No air is coming through the vents.",AC not working,Pending more vendor availability,TIGLBPKB,07/05/2023 09:24,,,,,,,,,,,Allstate Mechanical,,07/05/2023 09:24,,https://app.propertymeld.com/1912/m/1912/meld/5648447/summary/,,
611-4,,611 S 44th Street -4,Louisville,KY,40211,07/05/2023 09:10,No,Heating/AC,APARTMENT,High,"AC is not working. 
The current temp is 80 degrees.
No air is allcoming through the vents. ",AC not working,Pending more vendor availability,TZIJ7FY,07/05/2023 09:14,,,,,,,,,,,Allstate Mechanical,,07/05/2023 09:14,,https://app.propertymeld.com/1912/m/1912/meld/5648376/summary/,,
B6,,4604 Southern Parkway - B6,Louisville,KY,40214,07/05/2023 03:14,No,Landscaping,Sidewalk,Medium,"Branches bird nest and other debris are littered in the walkway. As a handicapped person it is hard and unnerving to maneuver around. With rain moving in tomorrow, it will make it even more treacherous. Can you please have it removed or at least the sidewalk cleaned. Thanks",Gutter cleaning debris,Pending more management availability,T22GMRR,,,,,,,,,Multi- South End,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5647541/summary/,,
1,,122 Oxford Place,Louisville,KY,40207,07/04/2023 23:20,Yes,Doors,All,Medium,Most of the door knobs on the house are hard to open. My kids are STILL getting locked in their rooms because of bad knows. The backdoor know is just as bad. The front door know as well. NEITHER of the bathrooms lock.,All doors.,Pending more management availability,TRBL7QG,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5647345/summary/,,
1,,3605 Regatta Way,Louisville,KY,40211,07/04/2023 15:02,Yes,Appliances,Kitchen stove,Medium,I wanted to see if I could get a new stove because I have tried to cook using this stove but keep burning my food. The stove does not show the temperature to show what temperature I am cooking my food on . Also the inside wiring is exposed.,Oven,Pending more management availability,TL4PGCV,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5646269/summary/,,
1,,6105 Yellowsands Dr,Louisville,KY,40219,07/04/2023 06:15,No,Electrical,whole unit,High,AC is causing main breaker to trip,AC is causing main breaker to trip,Pending more management availability,TF1NIXH,,07/05/2023,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5644628/summary/,,
607-3,,607 S 44th Street -3,Louisville,KY,40211,07/03/2023 22:38,Yes,Heating/AC,whole unit,Low,Blower is not working. Hot in unit. Please call tenant to schedule. 502-905-3196,AC not working,Pending more vendor availability,TT5UXLHB,07/05/2023 08:14,07/04/2023,,,,,,,,,,Allstate Mechanical,,07/05/2023 08:14,,https://app.propertymeld.com/1912/m/1912/meld/5644293/summary/,,
1,,6105 Yellowsands Dr,Louisville,KY,40219,07/03/2023 20:04,No,Electrical,Breaker is in basement bedroom,Medium,"Our power went out, my husband checked the breaker box and he thinks the main breaker blew bc it's extremely hot. Nothing will turn on",Breaker blew,Completed,TRH282U,07/05/2023 13:10,,07/05/2023 14:30,,,,,,,,,Albert Hardesty,,,07/05/2023 13:30,https://app.propertymeld.com/1912/m/1912/meld/5643859/summary/,,
123,,4522 Winnrose Way 123,Louisville,KY,40211,07/03/2023 19:05,No,Heating/AC,whole unit,Low,Tenant is off until Wednesday at 2pm; somebody should be home. Call tenant before arriving. 502-650-4692 Jermaine Coleman. ,AC not working,Pending more vendor availability,T7ZEZACB,07/05/2023 08:07,07/04/2023,,,,,,,,,,Allstate Mechanical,,07/05/2023 08:07,,https://app.propertymeld.com/1912/m/1912/meld/5643601/summary/,,
607-3,,607 S 44th Street -3,Louisville,KY,40211,07/03/2023 17:10,No,Heating/AC,Room,High,She's asthmatic. She needs her Ac immediately. She said that it's not turning on at all,No AC ,Pending more vendor availability,T6ARAX6,07/06/2023 08:55,,,,,,,,,,,Allstate Mechanical,,07/06/2023 08:55,,https://app.propertymeld.com/1912/m/1912/meld/5642838/summary/,,
1,,3604 Baymeadow Dr.,Louisville,KY,40258,07/03/2023 15:01,No,Doors,Doors,Low,Tenant states that their doors have water running in from the bottom when it rains.,French doors have leaks ,Pending more management availability,TQDIQTJ,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5641570/summary/,,
1,,3604 Baymeadow Dr.,Louisville,KY,40258,07/03/2023 14:59,No,General,Back Deck ,Low,Tenant states that the entire deck is dry rotted and they cannot be on it. They state there's already a whole in the deck as well.,Back deck is rotted ,Pending more management availability,TKGFCWE,,,,,,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5641555/summary/,,
2,,621 Westport Road,Elizabethtown,KY,42701,07/03/2023 14:47,No,Cleaning,unit 2,Low,"Unit needs to be trashed out

Lock box 0987
V key",Trash out,Pending completion,TPPKT6X,07/03/2023 21:18,,,,,,,,Vacant,,,Garcias cleaning llc ,,07/03/2023 21:18,07/05/2023 15:30,https://app.propertymeld.com/1912/m/1912/meld/5641397/summary/,,
1,,2211 Gerald Court - 1,Louisville,KY,40218,07/03/2023 14:43,No,Appliances,Kitchen,High,"Dishwasher has standing water
Service tech went out and pumped out the excess water out of the dishwasher and blew compressed air through the drain line. He was able to get the drain line clear but the pump motor hums but doesn't work. Also the dishwasher is missing screws and has broken internal parts.

Recommend replacing.",Dishwasher Hall light (clone),Pending more management availability,TUBG79DB,,,,,,,,,"Owner Approved,Vacant",,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5641363/summary/,,
